x,y,z
950,862,3157
972,862,3157
985,854,3129
941,833,3129
963,833,3129
985,833,3129
998,825,3101
911,803,3101
925,796,3073
946,796,3073
968,796,3073
989,796,3073
1020,803,3101
1051,811,3129
898,789,3129
911,782,3101
925,775,3073
946,775,3073
968,775,3073
989,775,3073
1020,782,3101
1041,782,3101
890,760,3101
903,753,3073
925,753,3073
946,753,3073
968,753,3073
989,753,3073
1020,760,3101
1041,760,3101
890,738,3101
903,732,3073
925,732,3073
946,732,3073
968,732,3073
989,732,3073
1020,738,3101
1051,745,3129
890,716,3101
895,704,3046
925,710,3073
946,710,3073
968,710,3073
989,710,3073
1020,716,3101
1051,723,3129
890,695,3101
911,695,3101
925,688,3073
946,688,3073
968,688,3073
989,688,3073
1020,695,3101
1051,701,3129
876,679,3129
898,679,3129
903,667,3073
916,661,3046
946,667,3073
968,667,3073
989,667,3073
1020,673,3101
1051,679,3129
884,663,3157
890,651,3101
903,645,3073
916,640,3046
938,640,3046
968,645,3073
989,645,3073
1029,657,3129
1060,663,3157
898,635,3129
911,630,3101
916,618,3046
938,618,3046
968,624,3073
998,630,3101
1029,635,3129
1051,635,3129
919,613,3129
925,602,3073
946,602,3073
968,602,3073
998,608,3101
1029,613,3129
1051,613,3129
1073,613,3129
1105,619,3157
1107,608,3101
933,586,3101
963,591,3129
985,591,3129
1007,591,3129
1029,591,3129
1051,591,3129
1063,586,3101
1085,586,3101
1107,586,3101
1108,576,3046
1120,571,3019
941,569,3129
972,575,3157
994,575,3157
1007,569,3129
1038,575,3157
1041,564,3101
1054,559,3073
1075,559,3073
1097,559,3073
1108,554,3046
1130,554,3046
1151,554,3046
1142,540,2967
963,573,3277
986,573,3277
972,552,3157
985,548,3129
1007,548,3129
1029,548,3129
1041,543,3101
1054,538,3073
1075,538,3073
1087,533,3046
1108,533,3046
1130,533,3046
1141,528,3019
1162,528,3019
1194,533,3046
949,556,3309
963,551,3277
977,545,3246
972,530,3157
985,526,3129
998,521,3101
1020,521,3101
1041,521,3101
1054,516,3073
1066,512,3046
1077,507,3019
1108,512,3046
1110,503,2993
1141,507,3019
1162,507,3019
1194,512,3046
949,533,3309
963,528,3277
968,518,3216
972,508,3157
994,508,3157
998,499,3101
1011,495,3073
1032,495,3073
1054,495,3073
1066,490,3046
1077,486,3019
1089,482,2993
1110,482,2993
1141,486,3019
1152,482,2993
1183,486,3019
1215,490,3046
949,510,3309
954,500,3246
959,491,3186
981,491,3186
994,486,3157
998,477,3101
1020,477,3101
1032,473,3073
1044,469,3046
1056,465,3019
1077,465,3019
1098,465,3019
1110,461,2993
1131,461,2993
1152,461,2993
1183,465,3019
1204,465,3019
926,486,3309
940,482,3277
945,473,3216
959,468,3186
963,460,3129
976,456,3101
998,456,3101
1020,456,3101
1023,448,3046
1044,448,3046
1056,444,3019
1077,444,3019
1089,440,2993
1100,436,2967
1131,440,2993
1152,440,2993
1183,444,3019
1194,440,2993
1215,440,2993
939,482,3440
935,468,3341
940,459,3277
945,450,3216
959,446,3186
972,442,3157
976,434,3101
989,430,3073
1011,430,3073
1023,426,3046
1044,426,3046
1066,426,3046
1077,423,3019
1089,419,2993
1110,419,2993
1121,415,2967
1152,419,2993
1183,423,3019
1194,419,2993
1215,419,2993
920,448,3373
935,444,3341
940,436,3277
945,428,3216
959,424,3186
981,424,3186
985,416,3129
989,409,3073
1002,405,3046
1023,405,3046
1044,405,3046
1056,401,3019
1077,401,3019
1098,401,3019
1120,401,3019
1131,398,2993
1152,398,2993
1173,398,2993
1194,398,2993
1204,394,2967
935,421,3341
931,409,3246
945,405,3216
959,401,3186
972,398,3157
985,394,3129
989,387,3073
1002,384,3046
1023,384,3046
1044,384,3046
1056,380,3019
1077,380,3019
1098,380,3019
1130,384,3046
1131,377,2993
1152,377,2993
1173,377,2993
1183,374,2967
1204,374,2967
917,390,3277
931,386,3246
945,383,3216
959,379,3186
955,369,3101
968,366,3073
989,366,3073
1002,362,3046
1023,362,3046
1044,362,3046
1066,362,3046
1077,359,3019
1098,359,3019
1120,359,3019
1131,356,2993
1142,353,2967
1183,359,3019
1194,356,2993
1204,353,2967
1225,353,2967
917,367,3277
931,363,3246
936,357,3186
959,357,3186
963,350,3129
976,347,3101
989,344,3073
1011,344,3073
1023,341,3046
1044,341,3046
1066,341,3046
1077,338,3019
1098,338,3019
1120,338,3019
1131,335,2993
1142,332,2967
1173,335,2993
1194,335,2993
1204,332,2967
1225,332,2967
926,347,3309
931,341,3246
945,337,3216
972,331,3157
976,325,3101
989,322,3073
1011,322,3073
1023,320,3046
1044,320,3046
1066,320,3046
1087,320,3046
1108,320,3046
1120,317,3019
1131,314,2993
1152,314,2993
1163,311,2967
1183,311,2967
1215,314,2993
1246,317,3019
939,337,3440
935,327,3341
923,315,3216
928,309,3157
950,309,3157
963,306,3129
968,301,3073
989,301,3073
1011,301,3073
1023,298,3046
1044,298,3046
1066,298,3046
1087,298,3046
1108,298,3046
1130,298,3046
1141,296,3019
1152,293,2993
1163,291,2967
1194,293,2993
1225,296,3019
1258,298,3046
908,295,3246
914,290,3186
928,287,3157
950,287,3157
963,284,3129
968,279,3073
989,279,3073
1002,277,3046
1023,277,3046
1044,277,3046
1066,277,3046
1087,277,3046
1108,277,3046
1130,277,3046
1151,277,3046
1162,274,3019
1173,272,2993
1204,274,3019
1225,274,3019
926,278,3309
923,270,3216
936,267,3186
950,265,3157
955,260,3101
968,258,3073
989,258,3073
1002,256,3046
1023,256,3046
1044,256,3046
1066,256,3046
1087,256,3046
1108,256,3046
1130,256,3046
1151,256,3046
1162,253,3019
1183,253,3019
1194,251,2993
1225,253,3019
926,255,3309
931,250,3246
936,245,3186
950,243,3157
963,241,3129
968,236,3073
989,236,3073
1002,234,3046
1014,232,3019
1044,234,3046
1066,234,3046
1087,234,3046
1108,234,3046
1130,234,3046
1151,234,3046
1162,232,3019
1173,230,2993
1183,228,2967
1215,230,2993
1236,230,2993
917,229,3277
931,227,3246
945,225,3216
950,221,3157
972,221,3157
976,217,3101
989,215,3073
1002,213,3046
1014,211,3019
1044,213,3046
1066,213,3046
1077,211,3019
1108,213,3046
1130,213,3046
1151,213,3046
1162,211,3019
1163,207,2967
1173,206,2942
1204,207,2967
1225,207,2967
917,206,3277
940,206,3277
945,202,3216
950,199,3157
963,197,3129
976,195,3101
989,193,3073
1002,192,3046
1023,192,3046
1044,192,3046
1056,190,3019
1077,190,3019
1108,192,3046
1130,192,3046
1151,192,3046
1142,187,2967
1163,187,2967
1183,187,2967
1204,187,2967
939,192,3440
935,187,3341
923,180,3216
936,178,3186
941,175,3129
955,173,3101
976,173,3101
989,172,3073
1002,170,3046
1023,170,3046
1044,170,3046
1056,169,3019
1077,169,3019
1108,170,3046
1130,170,3046
1141,169,3019
1142,166,2967
1163,166,2967
1183,166,2967
1204,166,2967
924,170,3475
939,168,3440
953,167,3406
914,156,3186
928,154,3157
941,153,3129
955,152,3101
976,152,3101
989,150,3073
1011,150,3073
1023,149,3046
1035,148,3019
1066,149,3046
1077,148,3019
1108,149,3046
1130,149,3046
1151,149,3046
1152,146,2993
1153,144,2942
1183,145,2967
1204,145,2967
900,146,3475
915,144,3440
939,144,3440
944,141,3373
914,133,3186
928,132,3157
950,132,3157
963,131,3129
985,131,3129
989,129,3073
1011,129,3073
1023,128,3046
1044,128,3046
1066,128,3046
1087,128,3046
1108,128,3046
1130,128,3046
1151,128,3046
1152,125,2993
1163,124,2967
1183,124,2967
1215,125,2993
891,120,3440
915,120,3440
939,120,3440
953,119,3406
914,111,3186
936,111,3186
950,110,3157
972,110,3157
976,108,3101
989,107,3073
1002,106,3046
1023,106,3046
1044,106,3046
1066,106,3046
1077,105,3019
1108,106,3046
1130,106,3046
1141,105,3019
1152,104,2993
1163,103,2967
1183,103,2967
891,96,3440
915,96,3440
939,96,3440
963,96,3440
940,91,3277
936,89,3186
950,88,3157
963,87,3129
976,86,3101
989,86,3073
1011,86,3073
1032,86,3073
1044,85,3046
1066,85,3046
1077,84,3019
1098,84,3019
1130,85,3046
1131,83,2993
1142,83,2967
1163,83,2967
1183,83,2967
875,73,3475
891,72,3440
915,72,3440
988,76,3621
935,70,3341
949,69,3309
954,68,3246
950,66,3157
963,65,3129
976,65,3101
989,64,3073
1011,64,3073
1023,64,3046
1044,64,3046
1066,64,3046
1087,64,3046
1108,64,3046
1130,64,3046
1131,62,2993
1142,62,2967
1163,62,2967
1183,62,2967
851,48,3475
866,48,3440
891,48,3440
926,46,3309
940,45,3277
954,45,3246
968,45,3216
972,44,3157
976,43,3101
998,43,3101
1011,43,3073
1032,43,3073
1054,43,3073
1066,42,3046
1087,42,3046
1108,42,3046
1130,42,3046
1131,41,2993
1142,41,2967
1163,41,2967
842,24,3440
866,24,3440
891,24,3440
926,23,3309
940,22,3277
945,22,3216
968,22,3216
972,22,3157
985,21,3129
998,21,3101
1011,21,3073
1032,21,3073
1054,21,3073
1066,21,3046
1087,21,3046
1108,21,3046
1130,21,3046
1121,20,2967
1142,20,2967
1163,20,2967
842,0,3440
858,0,3406
912,0,3341
926,0,3309
931,0,3246
936,0,3186
959,0,3186
972,0,3157
976,0,3101
989,0,3073
1011,0,3073
1032,0,3073
1054,0,3073
1066,0,3046
1087,0,3046
1108,0,3046
1110,0,2993
1121,0,2967
1132,0,2942
1163,0,2967
818,-25,3440
834,-24,3406
912,-24,3341
926,-24,3309
931,-23,3246
936,-23,3186
950,-23,3157
972,-23,3157
976,-22,3101
989,-22,3073
1011,-22,3073
1032,-22,3073
1054,-22,3073
1066,-22,3046
1087,-22,3046
1098,-22,3019
1100,-21,2967
1112,-21,2942
1132,-21,2942
1153,-21,2942
826,-48,3373
903,-47,3309
917,-46,3277
940,-46,3277
945,-46,3216
950,-45,3157
963,-44,3129
976,-44,3101
989,-44,3073
1002,-43,3046
1023,-43,3046
1044,-43,3046
1066,-43,3046
1087,-43,3046
1089,-42,2993
1100,-42,2967
1112,-42,2942
1132,-42,2942
1163,-42,2967
842,-73,3440
888,-71,3341
903,-70,3309
917,-69,3277
940,-69,3277
954,-69,3246
959,-67,3186
963,-66,3129
968,-65,3073
980,-65,3046
1002,-65,3046
1023,-65,3046
1044,-65,3046
1066,-65,3046
1087,-65,3046
1080,-63,2967
1091,-62,2942
1112,-62,2942
1132,-62,2942
1163,-63,2967
857,-93,3309
880,-93,3309
903,-93,3309
917,-92,3277
931,-91,3246
954,-91,3246
959,-90,3186
963,-88,3129
968,-87,3073
980,-86,3046
993,-85,3019
1023,-86,3046
1035,-85,3019
1056,-85,3019
1087,-86,3046
1089,-84,2993
1091,-83,2942
1112,-83,2942
1142,-84,2967
1163,-84,2967
865,-118,3341
880,-116,3309
903,-116,3309
917,-115,3277
923,-113,3216
945,-113,3216
959,-112,3186
972,-111,3157
976,-109,3101
980,-107,3046
1002,-107,3046
1023,-107,3046
1035,-106,3019
1056,-106,3019
1077,-106,3019
1089,-105,2993
1100,-104,2967
1112,-104,2942
1132,-104,2942
1163,-104,2967
850,-142,3373
873,-142,3373
880,-140,3309
903,-140,3309
917,-138,3277
931,-137,3246
945,-136,3216
950,-133,3157
972,-133,3157
976,-131,3101
989,-130,3073
1002,-129,3046
1023,-129,3046
1044,-129,3046
1056,-127,3019
1077,-127,3019
1089,-126,2993
1100,-125,2967
1121,-125,2967
1132,-124,2942
865,-164,3341
880,-163,3309
903,-163,3309
917,-161,3277
940,-161,3277
954,-160,3246
950,-155,3157
963,-154,3129
976,-153,3101
989,-151,3073
1002,-150,3046
1023,-150,3046
1044,-150,3046
1066,-150,3046
1087,-150,3046
1108,-150,3046
1130,-150,3046
1151,-150,3046
865,-188,3341
880,-186,3309
903,-186,3309
917,-184,3277
940,-184,3277
954,-182,3246
959,-179,3186
963,-176,3129
976,-174,3101
989,-173,3073
1002,-171,3046
1023,-171,3046
1044,-171,3046
1066,-171,3046
1087,-171,3046
1108,-171,3046
1130,-171,3046
1161,-173,3073
865,-211,3341
880,-209,3309
903,-209,3309
917,-207,3277
940,-207,3277
963,-207,3277
968,-203,3216
972,-200,3157
976,-196,3101
989,-194,3073
1002,-193,3046
1023,-193,3046
1035,-191,3019
1056,-191,3019
1087,-193,3046
1108,-193,3046
1130,-193,3046
1151,-193,3046
1183,-194,3073
857,-232,3309
880,-232,3309
903,-232,3309
917,-230,3277
940,-230,3277
963,-230,3277
977,-228,3246
972,-222,3157
976,-218,3101
989,-216,3073
1002,-214,3046
1023,-214,3046
1044,-214,3046
1056,-212,3019
1077,-212,3019
1108,-214,3046
1130,-214,3046
1161,-216,3073
1193,-218,3101
857,-256,3309
871,-253,3277
894,-253,3277
917,-253,3277
940,-253,3277
963,-253,3277
986,-253,3277
981,-246,3186
976,-239,3101
980,-235,3046
1002,-235,3046
1023,-235,3046
1044,-235,3046
1066,-235,3046
1087,-235,3046
1108,-235,3046
1130,-235,3046
1161,-237,3073
850,-284,3373
857,-279,3309
880,-279,3309
894,-276,3277
917,-276,3277
940,-276,3277
963,-276,3277
986,-276,3277
1009,-276,3277
985,-264,3129
989,-259,3073
1011,-259,3073
1023,-257,3046
1044,-257,3046
1066,-257,3046
1087,-257,3046
1108,-257,3046
1140,-259,3073
1161,-259,3073
850,-308,3373
857,-302,3309
880,-302,3309
894,-299,3277
917,-299,3277
940,-299,3277
963,-299,3277
996,-302,3309
1019,-302,3309
1022,-296,3246
989,-280,3073
1002,-278,3046
1023,-278,3046
1044,-278,3046
1066,-278,3046
1087,-278,3046
1108,-278,3046
1140,-280,3073
1161,-280,3073
850,-331,3373
857,-325,3309
880,-325,3309
903,-325,3309
917,-322,3277
940,-322,3277
963,-322,3277
986,-322,3277
1019,-325,3309
1042,-325,3309
998,-305,3101
1011,-302,3073
1032,-302,3073
1044,-299,3046
1066,-299,3046
1087,-299,3046
1118,-302,3073
1140,-302,3073
1172,-305,3101
1193,-305,3101
842,-362,3440
850,-355,3373
865,-352,3341
880,-348,3309
903,-348,3309
926,-348,3309
940,-345,3277
963,-345,3277
986,-345,3277
1019,-348,3309
1042,-348,3309
1025,-335,3186
1011,-323,3073
1032,-323,3073
1044,-321,3046
1066,-321,3046
1087,-321,3046
1118,-323,3073
1140,-323,3073
1172,-326,3101
1204,-329,3129
842,-386,3440
850,-379,3373
865,-375,3341
880,-371,3309
903,-371,3309
926,-371,3309
940,-368,3277
972,-371,3309
996,-371,3309
1019,-371,3309
1042,-371,3309
1025,-358,3186
1011,-345,3073
1032,-345,3073
1054,-345,3073
1075,-345,3073
1097,-345,3073
1118,-345,3073
1140,-345,3073
1182,-351,3129
1226,-358,3186
842,-410,3440
850,-402,3373
857,-395,3309
880,-395,3309
903,-395,3309
917,-391,3277
949,-395,3309
972,-395,3309
996,-395,3309
1019,-395,3309
1032,-391,3277
1007,-373,3129
1011,-367,3073
1032,-367,3073
1054,-367,3073
1075,-367,3073
1097,-367,3073
1118,-367,3073
1140,-367,3073
1182,-373,3129
1215,-377,3157
842,-434,3440
850,-426,3373
857,-418,3309
880,-418,3309
903,-418,3309
926,-418,3309
949,-418,3309
972,-418,3309
996,-418,3309
1009,-414,3277
1032,-414,3277
1020,-392,3101
1032,-388,3073
1054,-388,3073
1075,-388,3073
1097,-388,3073
1118,-388,3073
1150,-392,3101
1182,-395,3129
1215,-399,3157
850,-449,3373
857,-441,3309
880,-441,3309
903,-441,3309
926,-441,3309
949,-441,3309
