x,y,z
722,843,3440
739,835,3406
755,827,3373
787,811,3309
712,836,3510
715,811,3406
739,811,3406
762,811,3406
771,795,3341
802,803,3373
834,811,3406
698,795,3440
715,787,3406
731,779,3373
762,787,3406
779,779,3373
795,772,3341
826,779,3373
858,787,3406
674,771,3440
691,763,3406
715,763,3406
731,756,3373
755,756,3373
771,749,3341
795,749,3341
826,756,3373
850,756,3373
674,747,3440
691,739,3406
715,739,3406
731,732,3373
748,725,3341
764,718,3309
802,732,3373
826,732,3373
841,725,3341
674,723,3440
691,715,3406
715,715,3406
731,708,3373
755,708,3373
786,715,3406
802,708,3373
818,702,3341
841,702,3341
681,706,3475
698,698,3440
715,692,3406
739,692,3406
755,685,3373
779,685,3373
802,685,3373
818,678,3341
841,678,3341
698,674,3440
715,668,3406
739,668,3406
755,661,3373
771,655,3341
795,655,3341
818,655,3341
841,655,3341
715,644,3406
739,644,3406
762,644,3406
786,644,3406
802,638,3373
826,638,3373
858,644,3406
873,638,3373
897,638,3373
722,626,3440
746,626,3440
762,620,3406
786,620,3406
810,620,3406
834,620,3406
858,620,3406
873,614,3373
888,608,3341
894,596,3277
917,596,3277
722,602,3440
739,596,3406
762,596,3406
786,596,3406
810,596,3406
834,596,3406
850,590,3373
873,590,3373
880,579,3309
894,573,3277
908,568,3246
923,563,3216
936,558,3186
746,578,3440
770,578,3440
802,584,3475
818,578,3440
826,567,3373
841,561,3341
857,556,3309
871,551,3277
886,545,3246
900,540,3216
914,535,3186
936,535,3186
959,535,3186
818,554,3440
826,543,3373
833,533,3309
848,528,3277
863,523,3246
878,518,3216
892,513,3186
914,513,3186
936,513,3186
959,513,3186
972,508,3157
818,530,3440
826,519,3373
833,510,3309
848,505,3277
863,500,3246
878,495,3216
892,491,3186
914,491,3186
936,491,3186
959,491,3186
981,491,3186
802,496,3373
826,496,3373
833,486,3309
848,482,3277
855,473,3216
878,473,3216
892,468,3186
914,468,3186
936,468,3186
959,468,3186
981,468,3186
786,477,3406
802,472,3373
818,468,3341
833,463,3309
848,459,3277
863,454,3246
878,450,3216
892,446,3186
914,446,3186
928,442,3157
959,446,3186
981,446,3186
1003,446,3186
786,453,3406
802,448,3373
810,440,3309
833,440,3309
848,436,3277
863,432,3246
886,432,3246
892,424,3186
914,424,3186
936,424,3186
950,420,3157
972,420,3157
1003,424,3186
786,429,3406
802,425,3373
810,417,3309
825,413,3277
848,413,3277
871,413,3277
878,405,3216
892,401,3186
914,401,3186
928,398,3157
950,398,3157
972,398,3157
994,398,3157
794,409,3440
802,401,3373
810,394,3309
825,390,3277
848,390,3277
871,390,3277
878,383,3216
892,379,3186
906,376,3157
928,376,3157
950,376,3157
972,376,3157
985,372,3129
786,393,3510
794,385,3440
802,378,3373
810,370,3309
825,367,3277
848,367,3277
871,367,3277
886,363,3246
892,357,3186
914,357,3186
936,357,3186
950,353,3157
972,353,3157
994,353,3157
778,365,3475
786,357,3406
795,351,3341
810,347,3309
825,344,3277
848,344,3277
871,344,3277
886,341,3246
892,334,3186
906,331,3157
936,334,3186
950,331,3157
972,331,3157
1003,334,3186
778,340,3475
786,334,3406
795,327,3341
810,324,3309
825,321,3277
848,321,3277
871,321,3277
886,318,3246
892,312,3186
914,312,3186
928,309,3157
950,309,3157
972,309,3157
1003,312,3186
1025,312,3186
769,322,3546
786,319,3510
794,313,3440
795,304,3341
810,301,3309
825,298,3277
848,298,3277
871,298,3277
886,295,3246
892,290,3186
914,290,3186
928,287,3157
950,287,3157
972,287,3157
994,287,3157
769,298,3546
778,292,3475
779,283,3373
787,278,3309
810,278,3309
825,275,3277
848,275,3277
871,275,3277
886,272,3246
908,272,3246
914,267,3186
928,265,3157
950,265,3157
963,263,3129
994,265,3157
770,265,3440
779,259,3373
787,255,3309
810,255,3309
833,255,3309
857,255,3309
871,252,3277
894,252,3277
917,252,3277
923,247,3216
928,243,3157
950,243,3157
972,243,3157
1003,245,3186
762,238,3406
779,236,3373
795,234,3341
810,231,3309
833,231,3309
848,229,3277
871,229,3277
894,229,3277
908,227,3246
