x,y,z
553,804,2551
567,798,2532
584,798,2532
598,792,2514
525,798,2589
539,792,2570
553,786,2551
567,780,2532
584,780,2532
602,780,2532
625,786,2551
507,779,2589
521,774,2570
531,762,2532
549,762,2532
567,762,2532
584,762,2532
602,762,2532
620,762,2532
638,762,2532
507,761,2589
517,750,2551
531,745,2532
549,745,2532
563,739,2514
580,739,2514
602,745,2532
620,745,2532
638,745,2532
493,749,2609
507,743,2589
517,732,2551
531,727,2532
545,722,2514
563,722,2514
580,722,2514
598,722,2514
615,722,2514
638,727,2532
493,731,2609
503,720,2570
517,714,2551
531,709,2532
549,709,2532
567,709,2532
580,704,2514
598,704,2514
615,704,2514
638,709,2532
507,707,2589
517,697,2551
531,691,2532
549,691,2532
567,691,2532
584,691,2532
598,686,2514
620,691,2532
638,691,2532
655,691,2532
493,694,2609
507,689,2589
517,679,2551
531,674,2532
545,669,2514
567,674,2532
584,674,2532
598,669,2514
615,669,2514
633,669,2514
651,669,2514
511,676,2609
521,666,2570
531,656,2532
549,656,2532
567,656,2532
580,651,2514
594,647,2496
615,651,2514
633,651,2514
646,647,2496
511,658,2609
525,652,2589
535,643,2551
549,638,2532
567,638,2532
580,634,2514
598,634,2514
611,629,2496
629,629,2496
646,629,2496
525,634,2589
539,630,2570
549,620,2532
563,616,2514
572,607,2478
589,607,2478
602,603,2460
619,603,2460
637,603,2460
649,599,2443
525,616,2589
531,603,2532
541,594,2496
551,585,2460
564,581,2443
577,577,2426
594,577,2426
615,581,2443
632,581,2443
649,581,2443
662,577,2426
688,585,2460
701,581,2443
718,581,2443
745,590,2478
495,564,2443
513,564,2443
522,556,2409
539,556,2409
560,560,2426
577,560,2426
590,556,2409
607,556,2409
628,560,2426
640,556,2409
657,556,2409
674,556,2409
696,560,2426
713,560,2426
735,564,2443
752,564,2443
797,585,2532
468,555,2478
475,543,2426
485,536,2392
502,536,2392
519,536,2392
535,536,2392
552,536,2392
569,536,2392
586,536,2392
602,536,2392
623,540,2409
636,536,2392
653,536,2392
669,536,2392
691,540,2409
708,540,2409
730,543,2426
752,547,2443
764,543,2426
786,547,2443
815,555,2478
444,530,2443
458,526,2426
475,526,2426
485,519,2392
502,519,2392
519,519,2392
532,516,2376
548,516,2376
565,516,2376
582,516,2376
602,519,2392
619,519,2392
636,519,2392
653,519,2392
669,519,2392
686,519,2392
703,519,2392
720,519,2392
736,519,2392
758,523,2409
781,526,2426
803,530,2443
826,534,2460
427,513,2443
441,509,2426
455,506,2409
472,506,2409
485,502,2392
502,502,2392
519,502,2392
532,499,2376
548,499,2376
569,502,2392
582,499,2376
598,499,2376
615,499,2376
632,499,2376
653,502,2392
665,499,2376
681,499,2376
703,502,2392
720,502,2392
736,502,2392
753,502,2392
775,506,2409
798,509,2426
820,513,2443
837,513,2443
413,499,2460
430,499,2460
444,496,2443
455,489,2409
468,485,2392
482,482,2376
498,482,2376
515,482,2376
532,482,2376
544,479,2359
565,482,2376
582,482,2376
594,479,2359
606,476,2343
632,482,2376
648,482,2376
665,482,2376
681,482,2376
698,482,2376
715,482,2376
731,482,2376
753,485,2392
770,485,2392
792,489,2409
809,489,2409
832,492,2426
855,496,2443
413,482,2460
427,479,2443
441,475,2426
455,472,2409
468,469,2392
482,466,2376
498,466,2376
511,462,2359
528,462,2359
544,462,2359
561,462,2359
577,462,2359
590,459,2343
602,456,2327
623,459,2343
648,466,2376
665,466,2376
681,466,2376
698,466,2376
715,466,2376
726,462,2359
748,466,2376
765,466,2376
787,469,2392
803,469,2392
826,472,2409
849,475,2426
866,475,2426
396,465,2460
410,462,2443
424,458,2426
438,455,2409
452,452,2392
468,452,2392
482,449,2376
498,449,2376
511,446,2359
528,446,2359
544,446,2359
565,449,2376
574,443,2343
590,443,2343
606,443,2343
627,446,2359
648,449,2376
665,449,2376
681,449,2376
693,446,2359
710,446,2359
726,446,2359
748,449,2376
765,449,2376
787,452,2392
803,452,2392
826,455,2409
849,458,2426
866,458,2426
396,448,2460
410,445,2443
421,438,2409
435,435,2392
452,435,2392
465,432,2376
478,429,2359
498,432,2376
515,432,2376
532,432,2376
544,429,2359
561,429,2359
577,429,2359
598,432,2376
615,432,2376
627,429,2359
648,432,2376
665,432,2376
681,432,2376
698,432,2376
710,429,2359
731,432,2376
748,432,2376
765,432,2376
787,435,2392
803,435,2392
820,435,2392
849,441,2426
872,445,2443
396,430,2460
410,427,2443
418,418,2392
435,418,2392
452,418,2392
465,416,2376
478,413,2359
498,416,2376
515,416,2376
532,416,2376
544,413,2359
557,410,2343
574,410,2343
594,413,2359
611,413,2359
627,413,2359
644,413,2359
660,413,2359
677,413,2359
693,413,2359
710,413,2359
731,416,2376
748,416,2376
765,416,2376
781,416,2376
803,418,2392
826,421,2409
849,424,2426
872,427,2443
889,427,2443
378,413,2460
396,413,2460
407,407,2426
424,407,2426
435,402,2392
452,402,2392
465,399,2376
482,399,2376
498,399,2376
515,399,2376
528,396,2359
544,396,2359
561,396,2359
577,396,2359
590,393,2343
611,396,2359
627,396,2359
644,396,2359
656,393,2343
672,393,2343
688,393,2343
710,396,2359
731,399,2376
748,399,2376
765,399,2376
781,399,2376
803,402,2392
832,407,2426
849,407,2426
866,407,2426
883,407,2426
378,396,2460
393,393,2443
407,390,2426
421,388,2409
435,385,2392
452,385,2392
465,382,2376
482,382,2376
502,385,2392
515,382,2376
532,382,2376
541,377,2343
561,380,2359
577,380,2359
594,380,2359
611,380,2359
627,380,2359
635,374,2327
651,374,2327
677,380,2359
698,382,2376
710,380,2359
721,377,2343
743,380,2359
765,382,2376
781,382,2376
803,385,2392
826,388,2409
849,390,2426
872,393,2443
889,393,2443
900,390,2426
378,379,2460
393,376,2443
407,373,2426
418,368,2392
435,368,2392
452,368,2392
465,366,2376
482,366,2376
502,368,2392
515,366,2376
532,366,2376
541,361,2343
553,358,2327
574,361,2343
594,363,2359
611,363,2359
623,361,2343
639,361,2343
660,363,2359
677,363,2359
698,366,2376
710,363,2359
726,363,2359
743,363,2359
765,366,2376
781,366,2376
803,368,2392
832,373,2426
849,373,2426
866,373,2426
889,376,2443
887,368,2392
364,364,2478
378,361,2460
393,359,2443
404,354,2409
418,351,2392
435,351,2392
452,351,2392
468,351,2392
485,351,2392
498,349,2376
519,351,2392
532,349,2376
544,347,2359
557,344,2343
582,349,2376
594,347,2359
615,349,2376
627,347,2359
644,347,2359
665,349,2376
677,347,2359
693,347,2359
715,349,2376
731,349,2376
743,347,2359
759,347,2359
781,349,2376
803,351,2392
826,354,2409
849,356,2426
866,356,2426
883,356,2426
900,356,2426
917,356,2426
364,347,2478
378,344,2460
393,342,2443
407,339,2426
421,337,2409
435,335,2392
452,335,2392
468,335,2392
485,335,2392
502,335,2392
519,335,2392
532,332,2376
544,330,2359
561,330,2359
582,332,2376
598,332,2376
615,332,2376
632,332,2376
648,332,2376
665,332,2376
677,330,2359
693,330,2359
715,332,2376
731,332,2376
733,326,2327
759,330,2359
781,332,2376
798,332,2376
820,335,2392
849,339,2426
866,339,2426
883,339,2426
906,342,2443
917,339,2426
364,329,2478
376,325,2443
390,322,2426
407,322,2426
421,320,2409
435,318,2392
452,318,2392
468,318,2392
485,318,2392
502,318,2392
519,318,2392
532,316,2376
544,314,2359
561,314,2359
577,314,2359
598,316,2376
615,316,2376
632,316,2376
653,318,2392
665,316,2376
677,314,2359
693,314,2359
710,314,2359
726,314,2359
743,314,2359
765,316,2376
781,316,2376
803,318,2392
826,320,2409
849,322,2426
866,322,2426
883,322,2426
900,322,2426
917,322,2426
349,314,2496
361,310,2460
376,308,2443
390,305,2426
404,303,2409
418,301,2392
435,301,2392
452,301,2392
468,301,2392
485,301,2392
502,301,2392
519,301,2392
532,299,2376
548,299,2376
565,299,2376
577,297,2359
594,297,2359
611,297,2359
627,297,2359
648,299,2376
665,299,2376
672,295,2343
688,295,2343
710,297,2359
726,297,2359
743,297,2359
770,301,2392
787,301,2392
803,301,2392
826,303,2409
855,308,2443
866,305,2426
876,303,2409
900,305,2426
364,295,2478
378,292,2460
393,290,2443
404,286,2409
418,284,2392
435,284,2392
449,282,2376
468,284,2392
485,284,2392
502,284,2392
519,284,2392
532,282,2376
552,284,2392
565,282,2376
577,280,2359
594,280,2359
611,280,2359
623,279,2343
644,280,2359
665,282,2376
677,280,2359
693,280,2359
710,280,2359
726,280,2359
743,280,2359
765,282,2376
787,284,2392
798,282,2376
820,284,2392
849,288,2426
866,288,2426
883,288,2426
900,288,2426
923,290,2443
369,281,2514
378,275,2460
390,271,2426
404,270,2409
418,268,2392
435,268,2392
455,270,2409
468,268,2392
485,268,2392
502,268,2392
519,268,2392
535,268,2392
552,268,2392
569,268,2392
582,266,2376
598,266,2376
611,264,2359
623,262,2343
644,264,2359
660,264,2359
677,264,2359
693,264,2359
710,264,2359
731,266,2376
748,266,2376
765,266,2376
781,266,2376
803,268,2392
820,268,2392
843,270,2409
872,273,2443
889,273,2443
906,273,2443
923,273,2443
376,256,2443
390,254,2426
404,253,2409
418,251,2392
435,251,2392
452,251,2392
472,253,2409
485,251,2392
502,251,2392
519,251,2392
532,249,2376
548,249,2376
565,249,2376
582,249,2376
598,249,2376
611,247,2359
619,244,2327
639,246,2343
665,249,2376
677,247,2359
693,247,2359
710,247,2359
731,249,2376
748,249,2376
765,249,2376
781,249,2376
798,249,2376
820,251,2392
855,256,2443
872,256,2443
889,256,2443
906,256,2443
923,256,2443
940,256,2443
361,241,2460
376,239,2443
390,237,2426
404,236,2409
421,236,2409
438,236,2409
458,237,2426
475,237,2426
489,236,2409
505,236,2409
515,233,2376
532,233,2376
548,233,2376
565,233,2376
582,233,2376
598,233,2376
611,231,2359
623,229,2343
639,229,2343
660,231,2359
677,231,2359
693,231,2359
715,233,2376
731,233,2376
748,233,2376
765,233,2376
781,233,2376
798,233,2376
820,234,2392
855,239,2443
872,239,2443
889,239,2443
906,239,2443
917,237,2426
940,239,2443
361,224,2460
376,222,2443
390,220,2426
404,219,2409
421,219,2409
444,222,2443
464,224,2460
478,222,2443
492,220,2426
509,220,2426
519,217,2392
532,216,2376
548,216,2376
565,216,2376
582,216,2376
598,216,2376
611,214,2359
627,214,2359
644,214,2359
660,214,2359
677,214,2359
693,214,2359
710,214,2359
726,214,2359
748,216,2376
765,216,2376
781,216,2376
798,216,2376
820,217,2392
849,220,2426
872,222,2443
889,222,2443
906,222,2443
923,222,2443
940,222,2443
364,208,2478
376,205,2443
393,205,2443
407,203,2426
424,203,2426
441,203,2426
468,208,2478
478,205,2443
492,203,2426
509,203,2426
519,201,2392
532,199,2376
548,199,2376
565,199,2376
577,198,2359
594,198,2359
611,198,2359
627,198,2359
644,198,2359
660,198,2359
677,198,2359
693,198,2359
710,198,2359
726,198,2359
743,198,2359
765,199,2376
781,199,2376
798,199,2376
820,201,2392
843,202,2409
878,206,2460
895,206,2460
906,205,2443
923,205,2443
940,205,2443
361,189,2460
376,188,2443
393,188,2443
410,188,2443
424,186,2426
441,186,2426
471,192,2496
478,188,2443
492,186,2426
509,186,2426
519,184,2392
532,183,2376
548,183,2376
565,183,2376
582,183,2376
594,181,2359
606,180,2343
623,180,2343
644,181,2359
660,181,2359
677,181,2359
693,181,2359
715,183,2376
731,183,2376
748,183,2376
765,183,2376
781,183,2376
798,183,2376
820,184,2392
849,186,2426
872,188,2443
895,189,2460
912,189,2460
929,189,2460
947,189,2460
349,174,2496
361,172,2460
378,172,2460
393,171,2443
410,171,2443
424,169,2426
444,171,2443
475,176,2514
482,172,2460
495,171,2443
509,169,2426
519,167,2392
532,166,2376
548,166,2376
565,166,2376
582,166,2376
594,165,2359
606,164,2343
623,164,2343
644,165,2359
665,166,2376
677,165,2359
698,166,2376
715,166,2376
731,166,2376
748,166,2376
765,166,2376
781,166,2376
798,166,2376
820,167,2392
855,171,2443
878,172,2460
895,172,2460
912,172,2460
929,172,2460
954,173,2478
351,158,2514
364,156,2478
378,155,2460
393,154,2443
410,154,2443
427,154,2443
444,154,2443
475,158,2514
482,155,2460
495,154,2443
509,152,2426
519,150,2392
535,150,2392
548,149,2376
565,149,2376
582,149,2376
598,149,2376
611,148,2359
623,147,2343
644,148,2359
665,149,2376
681,149,2376
698,149,2376
715,149,2376
731,149,2376
748,149,2376
765,149,2376
787,150,2392
798,149,2376
820,150,2392
855,154,2443
878,155,2460
895,155,2460
912,155,2460
936,156,2478
967,158,2514
351,140,2514
364,138,2478
378,137,2460
396,137,2460
413,137,2460
427,136,2443
460,141,2532
475,140,2514
482,137,2460
495,136,2443
509,135,2426
519,134,2392
535,134,2392
548,133,2376
565,133,2376
577,132,2359
594,132,2359
611,132,2359
623,131,2343
639,131,2343
660,132,2359
681,133,2376
698,133,2376
715,133,2376
731,133,2376
748,133,2376
770,134,2392
787,134,2392
803,134,2392
826,135,2409
891,139,2496
902,138,2478
919,138,2478
943,139,2496
351,123,2514
364,121,2478
381,121,2478
396,120,2460
413,120,2460
430,120,2460
460,124,2532
471,122,2496
482,120,2460
495,119,2443
505,118,2409
519,117,2392
535,117,2392
548,116,2376
565,116,2376
577,115,2359
594,115,2359
611,115,2359
627,115,2359
639,114,2343
660,115,2359
681,116,2376
693,115,2359
715,116,2376
731,116,2376
748,116,2376
770,117,2392
787,117,2392
809,118,2409
891,122,2496
908,122,2496
926,122,2496
950,123,2514
334,105,2514
351,105,2514
366,104,2496
381,104,2478
398,104,2478
413,103,2460
464,107,2551
471,104,2496
478,102,2443
492,101,2426
505,101,2409
519,100,2392
535,100,2392
552,100,2392
565,99,2376
582,99,2376
598,99,2376
615,99,2376
632,99,2376
648,99,2376
660,99,2359
681,99,2376
698,99,2376
715,99,2376
736,100,2392
753,100,2392
775,101,2409
798,101,2426
921,106,2532
939,106,2532
950,105,2514
336,88,2532
354,88,2532
369,88,2514
384,87,2496
401,87,2496
464,89,2551
475,88,2514
485,86,2478
499,86,2460
513,85,2443
526,84,2426
539,84,2409
556,84,2409
569,83,2392
586,83,2392
598,83,2376
615,83,2376
632,83,2376
648,83,2376
665,83,2376
681,83,2376
698,83,2376
715,83,2376
742,84,2409
764,84,2426
781,84,2426
803,85,2443
820,85,2443
924,90,2589
942,90,2589
946,89,2551
341,72,2570
354,70,2532
369,70,2514
387,70,2514
404,70,2514
467,72,2570
475,70,2514
485,69,2478
503,69,2478
516,68,2460
530,68,2443
543,67,2426
556,67,2409
569,67,2392
586,67,2392
598,66,2376
615,66,2376
632,66,2376
653,67,2392
669,67,2392
681,66,2376
698,66,2376
720,67,2392
736,67,2392
758,67,2409
775,67,2409
798,67,2426
820,68,2443
924,72,2589
942,72,2589
953,72,2570
341,54,2570
354,53,2532
372,53,2532
389,53,2532
482,53,2551
492,52,2514
503,52,2478
516,51,2460
530,51,2443
547,51,2443
560,50,2426
569,50,2392
586,50,2392
602,50,2392
615,49,2376
632,49,2376
653,50,2392
669,50,2392
686,50,2392
703,50,2392
720,50,2392
736,50,2392
753,50,2392
775,50,2409
798,50,2426
820,51,2443
913,54,2609
931,54,2609
942,54,2589
960,54,2589
978,54,2589
341,36,2570
357,35,2551
372,35,2532
482,35,2551
492,35,2514
503,34,2478
516,34,2460
530,34,2443
547,34,2443
560,33,2426
573,33,2409
586,33,2392
598,33,2376
619,33,2392
636,33,2392
648,33,2376
669,33,2392
686,33,2392
703,33,2392
720,33,2392
736,33,2392
753,33,2392
770,33,2392
792,33,2409
820,34,2443
881,36,2570
927,37,2649
931,36,2609
949,36,2609
960,36,2589
978,36,2589
328,18,2609
344,18,2589
359,18,2570
372,17,2532
471,18,2589
482,17,2551
492,17,2514
503,17,2478
516,17,2460
530,17,2443
543,16,2426
556,16,2409
573,16,2409
586,16,2392
598,16,2376
615,16,2376
636,16,2392
653,16,2392
669,16,2392
686,16,2392
703,16,2392
720,16,2392
736,16,2392
753,16,2392
770,16,2392
798,16,2426
820,17,2443
908,18,2649
927,18,2649
945,18,2649
957,18,2629
967,18,2609
978,18,2589
312,0,2629
328,0,2609
344,0,2589
362,0,2589
375,0,2551
478,0,2532
492,0,2514
499,0,2460
513,0,2443
526,0,2426
543,0,2426
556,0,2409
569,0,2392
586,0,2392
602,0,2392
615,0,2376
636,0,2392
653,0,2392
669,0,2392
686,0,2392
703,0,2392
720,0,2392
736,0,2392
753,0,2392
770,0,2392
798,0,2426
820,0,2443
915,0,2669
934,0,2669
952,0,2669
964,0,2649
967,0,2609
978,0,2589
315,-19,2649
328,-19,2609
347,-19,2609
365,-19,2609
478,-18,2532
492,-18,2514
503,-18,2478
516,-18,2460
526,-17,2426
543,-17,2426
560,-17,2426
573,-17,2409
586,-17,2392
602,-17,2392
619,-17,2392
636,-17,2392
653,-17,2392
674,-17,2409
686,-17,2392
703,-17,2392
720,-17,2392
736,-17,2392
758,-17,2409
775,-17,2409
803,-18,2443
820,-18,2443
837,-18,2443
934,-19,2669
960,-19,2690
971,-19,2669
990,-19,2669
1001,-19,2649
317,-38,2669
328,-37,2609
344,-37,2589
365,-37,2609
471,-37,2589
478,-36,2532
492,-36,2514
506,-35,2496
516,-35,2460
530,-35,2443
543,-34,2426
556,-34,2409
573,-34,2409
590,-34,2409
602,-34,2392
619,-34,2392
636,-34,2392
657,-34,2409
674,-34,2409
686,-34,2392
703,-34,2392
720,-34,2392
736,-34,2392
758,-34,2409
781,-34,2426
803,-35,2443
820,-35,2443
832,-34,2426
948,-38,2711
960,-38,2690
971,-38,2669
990,-38,2669
1008,-38,2669
328,-55,2609
347,-55,2609
471,-55,2589
482,-54,2551
492,-53,2514
506,-53,2496
516,-52,2460
530,-52,2443
543,-51,2426
560,-51,2426
573,-51,2409
590,-51,2409
607,-51,2409
623,-51,2409
636,-51,2392
662,-51,2426
679,-51,2426
691,-51,2409
708,-51,2409
725,-51,2409
742,-51,2409
764,-51,2426
786,-52,2443
803,-52,2443
820,-52,2443
843,-52,2460
963,-58,2754
960,-57,2690
979,-57,2690
982,-56,2649
1008,-57,2669
333,-75,2649
349,-74,2629
471,-73,2589
482,-72,2551
492,-71,2514
506,-70,2496
516,-69,2460
530,-69,2443
547,-69,2443
560,-68,2426
573,-68,2409
590,-68,2409
611,-68,2426
623,-68,2409
640,-68,2409
666,-69,2443
684,-69,2443
696,-68,2426
713,-68,2426
730,-68,2426
747,-68,2426
769,-69,2443
786,-69,2443
809,-69,2460
826,-69,2460
471,-91,2589
478,-89,2532
492,-89,2514
503,-87,2478
516,-87,2460
533,-87,2460
547,-86,2443
564,-86,2443
577,-85,2426
594,-85,2426
615,-86,2443
632,-86,2443
649,-86,2443
666,-86,2443
684,-86,2443
701,-86,2443
718,-86,2443
735,-86,2443
747,-85,2426
769,-86,2443
786,-86,2443
809,-87,2460
844,-89,2514
875,-90,2551
453,-109,2589
467,-109,2570
478,-107,2532
489,-105,2496
503,-105,2478
516,-104,2460
533,-104,2460
551,-104,2460
564,-103,2443
581,-103,2443
598,-103,2443
615,-103,2443
637,-104,2460
654,-104,2460
671,-104,2460
688,-104,2460
706,-104,2460
723,-104,2460
735,-103,2443
752,-103,2443
769,-103,2443
786,-103,2443
809,-104,2460
850,-107,2532
881,-109,2570
453,-127,2589
467,-127,2570
478,-125,2532
489,-123,2496
503,-122,2478
516,-121,2460
533,-121,2460
551,-121,2460
564,-120,2443
581,-120,2443
598,-120,2443
619,-121,2460
637,-121,2460
659,-122,2478
681,-123,2496
693,-122,2478
706,-121,2460
723,-121,2460
740,-121,2460
752,-120,2443
769,-120,2443
792,-121,2460
815,-122,2478
844,-124,2514
881,-127,2570
456,-147,2609
467,-145,2570
478,-142,2532
492,-141,2514
503,-139,2478
516,-138,2460
533,-138,2460
551,-138,2460
564,-137,2443
581,-137,2443
598,-137,2443
619,-138,2460
641,-139,2478
663,-140,2496
686,-141,2514
698,-140,2496
711,-139,2478
728,-139,2478
740,-138,2460
757,-138,2460
774,-138,2460
792,-138,2460
821,-140,2496
441,-166,2629
456,-165,2609
467,-163,2570
478,-160,2532
492,-159,2514
503,-157,2478
516,-156,2460
533,-156,2460
551,-156,2460
564,-155,2443
581,-155,2443
598,-155,2443
619,-156,2460
641,-157,2478
668,-159,2514
691,-160,2532
703,-159,2514
721,-159,2514
728,-157,2478
745,-157,2478
763,-157,2478
774,-156,2460
797,-157,2478
827,-159,2514
441,-185,2629
456,-183,2609
471,-182,2589
478,-178,2532
492,-177,2514
506,-175,2496
520,-174,2478
533,-173,2460
551,-173,2460
564,-172,2443
581,-172,2443
598,-172,2443
619,-173,2460
637,-173,2460
673,-178,2532
696,-179,2551
708,-178,2532
726,-178,2532
739,-177,2514
751,-175,2496
768,-175,2496
780,-174,2478
803,-175,2496
827,-177,2514
857,-179,2551
441,-203,2629
456,-202,2609
471,-200,2589
478,-196,2532
492,-194,2514
506,-193,2496
516,-190,2460
533,-190,2460
551,-190,2460
568,-190,2460
581,-189,2443
602,-190,2460
619,-190,2460
637,-190,2460
683,-199,2570
701,-199,2570
714,-197,2551
726,-196,2532
739,-194,2514
751,-193,2496
768,-193,2496
786,-193,2496
803,-193,2496
833,-196,2532
863,-199,2570
445,-223,2649
456,-220,2609
471,-218,2589
482,-215,2551
