x,y,z
648,880,3309
625,857,3309
648,857,3309
665,849,3277
675,833,3216
685,818,3157
602,834,3309
619,826,3277
642,826,3277
652,811,3216
669,803,3186
704,818,3246
602,811,3309
619,803,3277
636,795,3246
646,781,3186
675,788,3216
704,795,3246
734,803,3277
596,780,3277
619,780,3277
636,773,3246
658,773,3246
675,766,3216
704,773,3246
727,773,3246
596,757,3277
619,757,3277
636,750,3246
658,750,3246
675,743,3216
697,743,3216
727,750,3246
590,756,3373
602,741,3309
619,734,3277
636,727,3246
652,721,3216
675,721,3216
704,727,3246
720,721,3216
584,725,3341
602,718,3309
619,711,3277
630,698,3216
652,698,3216
681,704,3246
704,704,3246
734,711,3277
579,695,3309
596,688,3277
619,688,3277
636,682,3246
658,682,3246
675,675,3216
704,682,3246
741,695,3309
596,665,3277
619,665,3277
636,659,3246
658,659,3246
681,659,3246
704,659,3246
619,642,3277
636,636,3246
665,642,3277
688,642,3277
711,642,3277
619,644,3406
625,625,3309
642,619,3277
665,619,3277
688,619,3277
711,619,3277
602,626,3440
619,620,3406
631,608,3341
648,602,3309
671,602,3309
694,602,3309
725,608,3341
748,608,3341
481,602,3440
529,602,3440
553,602,3440
572,596,3406
596,596,3406
619,596,3406
631,585,3341
648,579,3309
671,579,3309
694,579,3309
718,579,3309
748,585,3341
771,585,3341
795,585,3341
818,585,3341
833,579,3309
481,578,3440
505,578,3440
529,578,3440
548,572,3406
572,572,3406
596,572,3406
619,572,3406
631,561,3341
648,556,3309
671,556,3309
694,556,3309
725,561,3341
748,561,3341
764,556,3309
787,556,3309
810,556,3309
833,556,3309
857,556,3309
871,551,3277
457,554,3440
481,554,3440
505,554,3440
524,548,3406
548,548,3406
572,548,3406
590,543,3373
608,538,3341
631,538,3341
654,538,3341
671,533,3309
694,533,3309
718,533,3309
748,538,3341
764,533,3309
787,533,3309
810,533,3309
825,528,3277
848,528,3277
880,533,3309
433,530,3440
457,530,3440
481,530,3440
500,524,3406
524,524,3406
548,524,3406
566,519,3373
584,514,3341
608,514,3341
631,514,3341
654,514,3341
678,514,3341
694,510,3309
718,510,3309
734,505,3277
757,505,3277
779,505,3277
810,510,3309
833,510,3309
848,505,3277
880,510,3309
903,510,3309
437,511,3475
457,506,3440
476,501,3406
500,501,3406
524,501,3406
543,496,3373
566,496,3373
590,496,3373
608,491,3341
631,491,3341
648,486,3309
671,486,3309
694,486,3309
718,486,3309
734,482,3277
764,486,3309
787,486,3309
810,486,3309
833,486,3309
848,482,3277
871,482,3277
903,486,3309
433,482,3440
457,482,3440
476,477,3406
500,477,3406
524,477,3406
548,477,3406
566,472,3373
584,468,3341
608,468,3341
631,468,3341
648,463,3309
671,463,3309
694,463,3309
718,463,3309
734,459,3277
757,459,3277
779,459,3277
810,463,3309
833,463,3309
848,459,3277
880,463,3309
903,463,3309
409,457,3440
433,457,3440
457,457,3440
481,457,3440
500,453,3406
524,453,3406
543,448,3373
561,444,3341
579,440,3309
602,440,3309
625,440,3309
648,440,3309
665,436,3277
694,440,3309
718,440,3309
734,436,3277
757,436,3277
779,436,3277
802,436,3277
833,440,3309
857,440,3309
880,440,3309
903,440,3309
413,438,3475
433,433,3440
457,433,3440
481,433,3440
500,429,3406
524,429,3406
543,425,3373
561,421,3341
579,417,3309
602,417,3309
625,417,3309
648,417,3309
694,417,3309
711,413,3277
734,413,3277
764,417,3309
779,413,3277
802,413,3277
833,417,3309
857,417,3309
880,417,3309
903,417,3309
397,422,3546
417,418,3510
433,409,3440
457,409,3440
481,409,3440
500,405,3406
524,405,3406
537,397,3341
561,397,3341
584,397,3341
602,394,3309
625,394,3309
642,390,3277
671,394,3309
694,394,3309
711,390,3277
741,394,3309
764,394,3309
779,390,3277
810,394,3309
825,390,3277
857,394,3309
880,394,3309
903,394,3309
917,390,3277
413,389,3475
437,389,3475
462,389,3475
481,385,3440
500,381,3406
519,378,3373
537,374,3341
561,374,3341
584,374,3341
602,370,3309
625,370,3309
642,367,3277
665,367,3277
694,370,3309
718,370,3309
734,367,3277
757,367,3277
779,367,3277
810,370,3309
833,370,3309
857,370,3309
880,370,3309
894,367,3277
917,367,3277
393,368,3510
409,361,3440
433,361,3440
462,365,3475
481,361,3440
500,357,3406
519,354,3373
537,351,3341
555,347,3309
584,351,3341
608,351,3341
625,347,3309
648,347,3309
665,344,3277
688,344,3277
711,344,3277
734,344,3277
757,344,3277
779,344,3277
810,347,3309
833,347,3309
857,347,3309
880,347,3309
903,347,3309
917,344,3277
393,344,3510
417,344,3510
437,340,3475
457,337,3440
481,337,3440
500,334,3406
524,334,3406
537,327,3341
561,327,3341
584,327,3341
608,327,3341
631,327,3341
648,324,3309
665,321,3277
688,321,3277
711,321,3277
734,321,3277
757,321,3277
787,324,3309
818,327,3341
841,327,3341
865,327,3341
888,327,3341
912,327,3341
926,324,3309
940,321,3277
393,319,3510
417,319,3510
442,319,3510
462,316,3475
486,316,3475
505,313,3440
524,310,3406
543,307,3373
561,304,3341
584,304,3341
608,304,3341
631,304,3341
648,301,3309
671,301,3309
688,298,3277
711,298,3277
741,301,3309
757,298,3277
787,301,3309
818,304,3341
858,310,3406
873,307,3373
897,307,3373
912,304,3341
926,301,3309
421,298,3546
446,298,3546
471,298,3546
491,295,3510
510,292,3475
524,286,3406
537,280,3341
561,280,3341
579,278,3309
608,280,3341
625,278,3309
648,278,3309
671,278,3309
694,278,3309
711,275,3277
734,275,3277
757,275,3277
787,278,3309
818,280,3341
858,286,3406
873,283,3373
897,283,3373
912,280,3341
926,278,3309
417,270,3510
442,270,3510
466,270,3510
496,273,3546
510,267,3475
524,262,3406
543,259,3373
555,255,3309
579,255,3309
608,257,3341
625,255,3309
648,255,3309
678,257,3341
701,257,3341
711,252,3277
727,250,3246
757,252,3277
787,255,3309
818,257,3341
866,265,3440
882,262,3406
897,259,3373
912,257,3341
935,257,3341
958,257,3341
963,252,3277
397,248,3546
421,248,3546
442,245,3510
466,245,3510
496,248,3546
515,245,3510
524,238,3406
543,236,3373
555,231,3309
579,231,3309
602,231,3309
619,229,3277
648,231,3309
671,231,3309
694,231,3309
718,231,3309
734,229,3277
757,229,3277
787,231,3309
834,238,3406
875,243,3475
891,241,3440
897,236,3373
912,234,3341
935,234,3341
958,234,3341
982,234,3341
397,223,3546
421,223,3546
442,221,3510
471,223,3546
496,223,3546
510,219,3475
524,214,3406
537,210,3341
561,210,3341
579,208,3309
602,208,3309
625,208,3309
642,206,3277
665,206,3277
694,208,3309
718,208,3309
734,206,3277
757,206,3277
787,208,3309
834,214,3406
866,216,3440
882,214,3406
888,210,3341
912,210,3341
935,210,3341
958,210,3341
982,210,3341
389,194,3475
413,194,3475
442,196,3510
471,198,3546
491,196,3510
505,192,3440
524,190,3406
537,187,3341
561,187,3341
579,185,3309
608,187,3341
631,187,3341
648,185,3309
671,185,3309
694,185,3309
718,185,3309
741,185,3309
757,183,3277
787,185,3309
826,189,3373
858,190,3406
891,192,3440
897,189,3373
903,185,3309
926,185,3309
949,185,3309
982,187,3341
389,170,3475
413,170,3475
442,172,3510
471,173,3546
491,172,3510
505,168,3440
524,167,3406
543,165,3373
561,163,3341
579,162,3309
608,163,3341
631,163,3341
648,162,3309
671,162,3309
694,162,3309
718,162,3309
741,162,3309
764,162,3309
787,162,3309
818,163,3341
858,167,3406
891,168,3440
903,162,3309
926,162,3309
940,160,3277
963,160,3277
413,146,3475
442,147,3510
466,147,3510
491,147,3510
505,144,3440
524,143,3406
543,141,3373
566,141,3373
584,140,3341
608,140,3341
631,140,3341
648,139,3309
671,139,3309
694,139,3309
718,139,3309
734,137,3277
757,137,3277
787,139,3309
818,140,3341
850,141,3373
903,139,3309
926,139,3309
413,121,3475
437,121,3475
457,120,3440
486,121,3475
505,120,3440
524,119,3406
543,118,3373
566,118,3373
584,117,3341
608,117,3341
625,115,3309
648,115,3309
671,115,3309
694,115,3309
718,115,3309
734,114,3277
757,114,3277
787,115,3309
818,117,3341
858,119,3406
401,100,3583
413,97,3475
433,96,3440
457,96,3440
486,97,3475
505,96,3440
529,96,3440
548,95,3406
566,94,3373
590,94,3373
608,93,3341
625,92,3309
648,92,3309
671,92,3309
694,92,3309
718,92,3309
734,91,3277
764,92,3309
787,92,3309
810,92,3309
841,93,3341
413,73,3475
433,72,3440
457,72,3440
486,73,3475
510,73,3475
529,72,3440
548,71,3406
572,71,3406
596,71,3406
613,70,3373
631,70,3341
648,69,3309
671,69,3309
694,69,3309
718,69,3309
741,69,3309
764,69,3309
795,70,3341
810,69,3309
409,48,3440
429,47,3406
453,47,3406
481,48,3440
505,48,3440
529,48,3440
548,47,3406
572,47,3406
596,47,3406
613,47,3373
637,47,3373
654,46,3341
678,46,3341
701,46,3341
718,46,3309
741,46,3309
764,46,3309
802,47,3373
834,47,3406
421,24,3546
433,24,3440
457,24,3440
476,23,3406
505,24,3440
529,24,3440
548,23,3406
572,23,3406
590,23,3373
613,23,3373
631,23,3341
654,23,3341
678,23,3341
701,23,3341
718,23,3309
741,23,3309
764,23,3309
795,23,3341
826,23,3373
433,0,3440
453,0,3406
476,0,3406
500,0,3406
524,0,3406
548,0,3406
566,0,3373
590,0,3373
613,0,3373
631,0,3341
648,0,3309
671,0,3309
694,0,3309
718,0,3309
741,0,3309
757,0,3277
787,0,3309
810,0,3309
903,0,3309
437,-25,3475
457,-25,3440
476,-24,3406
500,-24,3406
524,-24,3406
548,-24,3406
566,-24,3373
584,-24,3341
608,-24,3341
631,-24,3341
648,-24,3309
671,-24,3309
694,-24,3309
718,-24,3309
741,-24,3309
757,-23,3277
779,-23,3277
810,-24,3309
433,-49,3440
457,-49,3440
481,-49,3440
500,-48,3406
519,-48,3373
543,-48,3373
566,-48,3373
584,-47,3341
608,-47,3341
631,-47,3341
648,-47,3309
671,-47,3309
694,-47,3309
718,-47,3309
734,-46,3277
757,-46,3277
779,-46,3277
810,-47,3309
437,-74,3475
457,-73,3440
476,-72,3406
500,-72,3406
519,-71,3373
543,-71,3373
566,-71,3373
590,-71,3373
613,-71,3373
631,-71,3341
648,-70,3309
671,-70,3309
694,-70,3309
718,-70,3309
734,-69,3277
757,-69,3277
779,-69,3277
810,-70,3309
446,-100,3546
462,-98,3475
476,-96,3406
500,-96,3406
519,-95,3373
537,-94,3341
566,-95,3373
590,-95,3373
608,-94,3341
631,-94,3341
654,-94,3341
671,-93,3309
694,-93,3309
718,-93,3309
741,-93,3309
757,-92,3277
779,-92,3277
802,-92,3277
426,-126,3583
446,-125,3546
462,-122,3475
476,-120,3406
500,-120,3406
524,-120,3406
537,-118,3341
566,-119,3373
590,-119,3373
608,-118,3341
631,-118,3341
648,-116,3309
671,-116,3309
694,-116,3309
718,-116,3309
741,-116,3309
757,-115,3277
779,-115,3277
802,-115,3277
442,-148,3510
457,-145,3440
476,-144,3406
500,-144,3406
