x,y,z
707,840,3157
729,840,3157
663,818,3157
685,818,3157
707,818,3157
716,803,3101
751,818,3157
773,818,3157
646,803,3186
663,796,3157
685,796,3157
700,789,3129
716,782,3101
738,782,3101
759,782,3101
646,781,3186
663,774,3157
679,767,3129
700,767,3129
709,753,3073
731,753,3073
759,760,3101
781,760,3101
646,758,3186
663,752,3157
679,745,3129
694,738,3101
709,732,3073
731,732,3073
759,738,3101
781,738,3101
646,736,3186
657,723,3129
679,723,3129
700,723,3129
709,710,3073
731,710,3073
759,716,3101
781,716,3101
646,714,3186
657,701,3129
679,701,3129
700,701,3129
709,688,3073
731,688,3073
759,695,3101
781,695,3101
646,691,3186
663,685,3157
685,685,3157
694,673,3101
709,667,3073
738,673,3101
759,673,3101
781,673,3101
663,663,3157
679,657,3129
694,651,3101
716,651,3101
738,651,3101
766,657,3129
669,647,3186
685,641,3157
700,635,3129
722,635,3129
744,635,3129
766,635,3129
642,642,3277
658,636,3246
675,630,3216
685,619,3157
700,613,3129
716,608,3101
744,613,3129
602,625,3309
643,644,3406
654,631,3341
665,619,3277
675,608,3216
691,602,3186
713,602,3186
722,591,3129
758,602,3186
555,602,3309
579,602,3309
608,608,3341
625,602,3309
642,596,3277
665,596,3277
681,591,3246
691,580,3186
713,580,3186
736,580,3186
765,585,3216
787,585,3216
833,602,3309
532,579,3309
550,573,3277
579,579,3309
602,579,3309
619,573,3277
636,568,3246
665,573,3277
688,573,3277
691,558,3186
713,558,3186
742,563,3216
772,568,3246
795,568,3246
825,573,3277
848,573,3277
863,568,3246
486,556,3309
509,556,3309
532,556,3309
555,556,3309
573,551,3277
596,551,3277
619,551,3277
636,545,3246
658,545,3246
675,540,3216
697,540,3216
727,545,3246
749,545,3246
772,545,3246
795,545,3246
818,545,3246
840,545,3246
863,545,3246
886,545,3246
491,538,3341
509,533,3309
532,533,3309
555,533,3309
573,528,3277
596,528,3277
619,528,3277
642,528,3277
658,523,3246
675,518,3216
691,513,3186
720,518,3216
749,523,3246
779,528,3277
795,523,3246
810,518,3216
832,518,3216
855,518,3216
886,523,3246
917,528,3277
949,533,3309
491,514,3341
509,510,3309
532,510,3309
550,505,3277
573,505,3277
596,505,3277
619,505,3277
642,505,3277
658,500,3246
675,495,3216
691,491,3186
713,491,3186
736,491,3186
765,495,3216
787,495,3216
802,491,3186
832,495,3216
855,495,3216
894,505,3277
917,505,3277
940,505,3277
476,501,3406
491,491,3341
509,486,3309
532,486,3309
550,482,3277
573,482,3277
