x,y,z
579,758,3186
607,766,3216
636,773,3246
545,750,3246
568,750,3246
579,736,3186
602,736,3186
624,736,3186
646,736,3186
669,736,3186
527,734,3277
545,727,3246
568,727,3246
579,714,3186
602,714,3186
624,714,3186
646,714,3186
669,714,3186
527,711,3277
540,698,3216
557,691,3186
579,691,3186
602,691,3186
624,691,3186
646,691,3186
663,685,3157
527,688,3277
540,675,3216
557,669,3186
579,669,3186
602,669,3186
624,669,3186
646,669,3186
669,669,3186
527,665,3277
545,659,3246
557,647,3186
579,647,3186
602,647,3186
624,647,3186
646,647,3186
675,653,3216
697,653,3216
545,636,3246
562,630,3216
585,630,3216
602,624,3186
624,624,3186
652,630,3216
675,630,3216
532,625,3309
545,614,3246
562,608,3216
585,608,3216
602,602,3186
624,602,3186
652,608,3216
669,602,3186
532,602,3309
555,602,3309
568,591,3246
590,591,3246
607,585,3216
630,585,3216
658,591,3246
546,621,3546
553,602,3440
555,579,3309
579,579,3309
602,579,3309
619,573,3277
642,573,3277
671,579,3309
708,590,3373
505,578,3440
535,584,3475
553,578,3440
566,567,3373
579,556,3309
602,556,3309
619,551,3277
648,556,3309
684,567,3373
708,567,3373
739,572,3406
770,578,3440
786,572,3406
462,559,3475
481,554,3440
510,559,3475
535,559,3475
553,554,3440
572,548,3406
590,543,3373
602,533,3309
625,533,3309
661,543,3373
684,543,3373
708,543,3373
739,548,3406
762,548,3406
786,548,3406
810,548,3406
834,548,3406
442,541,3510
462,535,3475
481,530,3440
505,530,3440
529,530,3440
553,530,3440
572,524,3406
596,524,3406
613,519,3373
643,524,3406
667,524,3406
691,524,3406
715,524,3406
739,524,3406
755,519,3373
786,524,3406
810,524,3406
834,524,3406
858,524,3406
421,521,3546
442,516,3510
462,511,3475
481,506,3440
505,506,3440
529,506,3440
553,506,3440
572,501,3406
596,501,3406
619,501,3406
643,501,3406
667,501,3406
691,501,3406
715,501,3406
739,501,3406
762,501,3406
786,501,3406
802,496,3373
834,501,3406
858,501,3406
393,491,3510
417,491,3510
437,486,3475
457,482,3440
481,482,3440
505,482,3440
529,482,3440
553,482,3440
572,477,3406
596,477,3406
619,477,3406
637,472,3373
661,472,3373
684,472,3373
708,472,3373
739,477,3406
762,477,3406
786,477,3406
802,472,3373
834,477,3406
866,482,3440
900,486,3475
397,472,3546
417,467,3510
433,457,3440
457,457,3440
481,457,3440
500,453,3406
524,453,3406
548,453,3406
572,453,3406
596,453,3406
619,453,3406
637,448,3373
654,444,3341
684,448,3373
708,448,3373
739,453,3406
755,448,3373
779,448,3373
810,453,3406
834,453,3406
866,457,3440
891,457,3440
397,447,3546
413,438,3475
433,433,3440
