x,y,z
619,811,3406
643,811,3406
674,819,3440
577,795,3440
596,787,3406
619,787,3406
637,779,3373
661,779,3373
691,787,3406
583,779,3475
602,771,3440
619,763,3406
637,756,3373
648,741,3309
671,741,3309
694,741,3309
577,747,3440
596,739,3406
613,732,3373
637,732,3373
648,718,3309
671,718,3309
701,725,3341
577,723,3440
590,708,3373
608,702,3341
631,702,3341
648,695,3309
678,702,3341
708,708,3373
577,698,3440
596,692,3406
613,685,3373
631,678,3341
648,672,3309
678,678,3341
708,685,3373
572,668,3406
596,668,3406
613,661,3373
631,655,3341
648,649,3309
671,649,3309
708,661,3373
577,650,3440
602,650,3440
619,644,3406
631,631,3341
648,625,3309
671,625,3309
708,638,3373
577,626,3440
596,620,3406
619,620,3406
631,608,3341
648,602,3309
678,608,3341
577,602,3440
596,596,3406
619,596,3406
637,590,3373
654,585,3341
684,590,3373
602,578,3440
626,578,3440
643,572,3406
661,567,3373
691,572,3406
722,578,3440
570,571,3546
589,565,3510
602,554,3440
626,554,3440
643,548,3406
667,548,3406
691,548,3406
722,554,3440
746,554,3440
501,552,3583
521,546,3546
546,546,3546
570,546,3546
583,535,3475
602,530,3440
626,530,3440
643,524,3406
674,530,3440
698,530,3440
722,530,3440
746,530,3440
770,530,3440
794,530,3440
471,521,3546
496,521,3546
515,516,3510
540,516,3510
570,521,3546
589,516,3510
608,511,3475
626,506,3440
650,506,3440
674,506,3440
691,501,3406
722,506,3440
746,506,3440
770,506,3440
794,506,3440
818,506,3440
451,502,3583
471,496,3546
491,491,3510
510,486,3475
540,491,3510
565,491,3510
589,491,3510
602,482,3440
626,482,3440
650,482,3440
674,482,3440
691,477,3406
722,482,3440
746,482,3440
770,482,3440
794,482,3440
818,482,3440
834,477,3406
421,472,3546
442,467,3510
471,472,3546
491,467,3510
510,462,3475
540,467,3510
565,467,3510
583,462,3475
596,453,3406
619,453,3406
650,457,3440
674,457,3440
698,457,3440
715,453,3406
739,453,3406
762,453,3406
786,453,3406
810,453,3406
834,453,3406
866,457,3440
414,466,3698
421,447,3546
446,447,3546
471,447,3546
496,447,3546
515,442,3510
535,438,3475
559,438,3475
577,433,3440
602,433,3440
619,429,3406
643,429,3406
674,433,3440
691,429,3406
715,429,3406
739,429,3406
762,429,3406
786,429,3406
810,429,3406
842,433,3440
866,433,3440
891,433,3440
401,426,3583
426,426,3583
446,422,3546
471,422,3546
491,418,3510
515,418,3510
535,413,3475
553,409,3440
577,409,3440
602,409,3440
619,405,3406
643,405,3406
667,405,3406
691,405,3406
715,405,3406
739,405,3406
770,409,3440
794,409,3440
818,409,3440
842,409,3440
866,409,3440
891,409,3440
401,401,3583
426,401,3583
446,397,3546
471,397,3546
486,389,3475
510,389,3475
529,385,3440
