x,y,z
-603,430,3073
-592,438,3129
-658,416,3129
-630,412,3101
-608,412,3101
-592,416,3129
-565,412,3101
-686,398,3157
-658,394,3129
-636,394,3129
-608,391,3101
-587,391,3101
-570,394,3129
-553,398,3157
-531,398,3157
-686,376,3157
-658,372,3129
-630,369,3101
-603,366,3073
-581,366,3073
-565,369,3101
-553,376,3157
-531,376,3157
-686,353,3157
-658,350,3129
-624,344,3073
-603,344,3073
-581,344,3073
-565,347,3101
-548,350,3129
-531,353,3157
-509,353,3157
-673,325,3101
-646,322,3073
-624,322,3073
-603,322,3073
-587,325,3101
-570,328,3129
-548,328,3129
-531,331,3157
-513,334,3186
-667,301,3073
-646,301,3073
-624,301,3073
-608,304,3101
-587,304,3101
-565,304,3101
-548,306,3129
-531,309,3157
-513,312,3186
-491,312,3186
-987,298,3277
-964,298,3277
-919,322,3546
-867,313,3440
-652,282,3101
-630,282,3101
-608,282,3101
-587,282,3101
-570,284,3129
-553,287,3157
-531,287,3157
-513,290,3186
-505,298,3277
-482,298,3277
-459,298,3277
-436,298,3277
-413,298,3277
-394,301,3309
-371,301,3309
-345,298,3277
-322,298,3277
-978,272,3246
-955,272,3246
-950,278,3309
-930,286,3406
-925,292,3475
-892,289,3440
-867,289,3440
-843,289,3440
-836,295,3510
-803,292,3475
-795,298,3546
-755,292,3475
-716,286,3406
-641,265,3157
-614,263,3129
-587,260,3101
-570,263,3129
-553,265,3157
-531,265,3157
-513,267,3186
-505,275,3277
-482,275,3277
-455,272,3246
-432,272,3246
-406,270,3216
-387,272,3246
-368,275,3277
-345,275,3277
-322,275,3277
-299,275,3277
-276,275,3277
-255,278,3309
-232,278,3309
-209,278,3309
-191,286,3406
-167,286,3406
-987,252,3277
-955,250,3246
-941,252,3277
-936,257,3341
-921,259,3373
-907,262,3406
-892,265,3440
-867,265,3440
-843,265,3440
-819,265,3440
-803,267,3475
-787,270,3510
-747,265,3440
-709,259,3373
-653,247,3216
-614,241,3129
-592,241,3129
-565,238,3101
-553,243,3157
-531,243,3157
-513,245,3186
-505,252,3277
-478,250,3246
-451,247,3216
-432,250,3246
-406,247,3216
-383,247,3216
-364,250,3246
-345,252,3277
-322,252,3277
-299,252,3277
-276,252,3277
-255,255,3309
-232,255,3309
-209,255,3309
-188,257,3341
-166,259,3373
-141,257,3341
-119,259,3373
-997,231,3309
-964,229,3277
-932,227,3246
-936,234,3341
-921,236,3373
-907,238,3406
-892,241,3440
-867,241,3440
-843,241,3440
-828,243,3475
-803,243,3475
-771,241,3440
-740,238,3406
-709,236,3373
-685,236,3373
-619,221,3157
-592,219,3129
-570,219,3129
-553,221,3157
-536,223,3186
-518,225,3216
-500,227,3246
-478,227,3246
-455,227,3246
-428,225,3216
-406,225,3216
-380,223,3186
-361,225,3216
-341,227,3246
-322,229,3277
-299,229,3277
-276,229,3277
-253,229,3277
-232,231,3309
-209,231,3309
-188,234,3341
-164,234,3341
-141,234,3341
-119,236,3373
-96,238,3406
-72,238,3406
-49,241,3440
-964,206,3277
-932,204,3246
-964,216,3440
-930,214,3406
-907,214,3406
-892,216,3440
-867,216,3440
-843,216,3440
-836,221,3510
-803,219,3475
-771,216,3440
-740,214,3406
-716,214,3406
-685,212,3373
-643,206,3277
-603,200,3186
