x,y,z
642,872,3277
596,849,3277
613,841,3246
630,833,3216
652,833,3216
579,834,3309
596,826,3277
613,818,3246
630,811,3216
646,803,3186
675,811,3216
704,818,3246
573,803,3277
590,795,3246
613,795,3246
630,788,3216
646,781,3186
669,781,3186
697,788,3216
573,780,3277
585,766,3216
613,773,3246
630,766,3216
652,766,3216
669,758,3186
697,766,3216
734,780,3277
579,765,3309
590,750,3246
613,750,3246
630,743,3216
652,743,3216
669,736,3186
697,743,3216
734,757,3277
584,749,3341
596,734,3277
613,727,3246
624,714,3186
652,721,3216
675,721,3216
704,727,3246
720,721,3216
579,718,3309
596,711,3277
613,704,3246
630,698,3216
652,698,3216
675,698,3216
704,704,3246
727,704,3246
579,695,3309
596,688,3277
613,682,3246
636,682,3246
652,675,3216
675,675,3216
697,675,3216
573,665,3277
590,659,3246
613,659,3246
630,653,3216
652,653,3216
681,659,3246
691,647,3186
596,642,3277
619,642,3277
624,624,3186
646,624,3186
681,636,3246
602,625,3309
619,619,3277
642,619,3277
658,614,3246
688,619,3277
718,625,3309
566,614,3373
584,608,3341
602,602,3309
625,602,3309
642,596,3277
671,602,3309
694,602,3309
718,602,3309
748,608,3341
481,602,3440
524,596,3406
548,596,3406
572,596,3406
596,596,3406
608,585,3341
625,579,3309
642,573,3277
671,579,3309
694,579,3309
718,579,3309
741,579,3309
764,579,3309
787,579,3309
810,579,3309
481,578,3440
505,578,3440
524,572,3406
548,572,3406
572,572,3406
590,567,3373
613,567,3373
625,556,3309
648,556,3309
671,556,3309
694,556,3309
718,556,3309
741,556,3309
764,556,3309
787,556,3309
802,551,3277
825,551,3277
848,551,3277
453,548,3406
481,554,3440
505,554,3440
524,548,3406
548,548,3406
572,548,3406
584,538,3341
608,538,3341
625,533,3309
648,533,3309
671,533,3309
694,533,3309
718,533,3309
741,533,3309
757,528,3277
779,528,3277
802,528,3277
825,528,3277
857,533,3309
426,552,3583
437,535,3475
457,530,3440
476,524,3406
500,524,3406
519,519,3373
543,519,3373
561,514,3341
584,514,3341
602,510,3309
625,510,3309
648,510,3309
671,510,3309
694,510,3309
718,510,3309
734,505,3277
757,505,3277
779,505,3277
802,505,3277
833,510,3309
848,505,3277
871,505,3277
421,521,3546
433,506,3440
457,506,3440
476,501,3406
500,501,3406
519,496,3373
537,491,3341
561,491,3341
579,486,3309
602,486,3309
625,486,3309
648,486,3309
665,482,3277
688,482,3277
711,482,3277
734,482,3277
757,482,3277
779,482,3277
802,482,3277
833,486,3309
848,482,3277
880,486,3309
429,477,3406
453,477,3406
476,477,3406
500,477,3406
519,472,3373
543,472,3373
561,468,3341
579,463,3309
602,463,3309
619,459,3277
636,454,3246
665,459,3277
688,459,3277
711,459,3277
734,459,3277
757,459,3277
779,459,3277
802,459,3277
833,463,3309
857,463,3309
880,463,3309
423,503,3779
409,457,3440
429,453,3406
453,453,3406
476,453,3406
495,448,3373
519,448,3373
543,448,3373
561,444,3341
579,440,3309
602,440,3309
619,436,3277
658,432,3246
688,436,3277
711,436,3277
734,436,3277
749,432,3246
779,436,3277
802,436,3277
825,436,3277
857,440,3309
880,440,3309
414,466,3698
417,442,3510
433,433,3440
457,433,3440
476,429,3406
495,425,3373
519,425,3373
537,421,3341
555,417,3309
579,417,3309
596,413,3277
619,413,3277
671,417,3309
688,413,3277
711,413,3277
734,413,3277
757,413,3277
779,413,3277
802,413,3277
825,413,3277
857,417,3309
880,417,3309
397,422,3546
413,413,3475
433,409,3440
457,409,3440
476,405,3406
500,405,3406
524,405,3406
532,394,3309
555,394,3309
579,394,3309
596,390,3277
619,390,3277
648,394,3309
665,390,3277
688,390,3277
711,390,3277
734,390,3277
757,390,3277
779,390,3277
802,390,3277
825,390,3277
848,390,3277
880,394,3309
894,390,3277
397,397,3546
413,389,3475
433,385,3440
457,385,3440
476,381,3406
500,381,3406
519,378,3373
532,370,3309
550,367,3277
573,367,3277
602,370,3309
625,370,3309
667,381,3406
665,367,3277
681,363,3246
711,367,3277
734,367,3277
757,367,3277
779,367,3277
802,367,3277
825,367,3277
857,370,3309
880,370,3309
894,367,3277
393,368,3510
409,361,3440
433,361,3440
457,361,3440
476,357,3406
495,354,3373
519,354,3373
532,347,3309
555,347,3309
573,344,3277
602,347,3309
631,351,3341
687,368,3510
671,347,3309
681,341,3246
711,344,3277
734,344,3277
757,344,3277
779,344,3277
802,344,3277
833,347,3309
857,347,3309
880,347,3309
903,347,3309
393,344,3510
409,337,3440
433,337,3440
457,337,3440
481,337,3440
495,330,3373
519,330,3373
537,327,3341
555,324,3309
579,324,3309
602,324,3309
625,324,3309
648,324,3309
665,321,3277
681,318,3246
711,321,3277
734,321,3277
757,321,3277
779,321,3277
810,324,3309
833,324,3309
857,324,3309
888,327,3341
912,327,3341
397,322,3546
417,319,3510
437,316,3475
457,313,3440
481,313,3440
500,310,3406
519,307,3373
537,304,3341
561,304,3341
579,301,3309
602,301,3309
619,298,3277
642,298,3277
665,298,3277
688,298,3277
711,298,3277
734,298,3277
757,298,3277
779,298,3277
818,304,3341
850,307,3373
865,304,3341
888,304,3341
903,301,3309
397,298,3546
417,295,3510
437,292,3475
462,292,3475
481,289,3440
505,289,3440
519,283,3373
532,278,3309
555,278,3309
579,278,3309
596,275,3277
619,275,3277
642,275,3277
665,275,3277
688,275,3277
704,272,3246
727,272,3246
749,272,3246
779,275,3277
826,283,3373
850,283,3373
873,283,3373
888,280,3341
920,283,3373
380,279,3621
401,276,3583
417,270,3510
442,270,3510
466,270,3510
486,267,3475
505,265,3440
514,257,3341
532,255,3309
561,257,3341
579,255,3309
596,252,3277
619,252,3277
642,252,3277
665,252,3277
688,252,3277
704,250,3246
720,247,3216
749,250,3246
787,255,3309
826,259,3373
850,259,3373
873,259,3373
897,259,3373
912,257,3341
926,255,3309
380,253,3621
401,251,3583
417,245,3510
442,245,3510
471,248,3546
491,245,3510
500,238,3406
514,234,3341
532,231,3309
555,231,3309
579,231,3309
602,231,3309
619,229,3277
642,229,3277
665,229,3277
688,229,3277
704,227,3246
727,227,3246
749,227,3246
787,231,3309
834,238,3406
858,238,3406
873,236,3373
897,236,3373
903,231,3309
917,229,3277
384,230,3659
397,223,3546
417,221,3510
442,221,3510
471,223,3546
491,221,3510
500,214,3406
514,210,3341
532,208,3309
555,208,3309
579,208,3309
602,208,3309
625,208,3309
642,206,3277
665,206,3277
688,206,3277
704,204,3246
727,204,3246
749,204,3246
787,208,3309
834,214,3406
858,214,3406
873,212,3373
888,210,3341
903,208,3309
926,208,3309
364,194,3475
393,196,3510
413,194,3475
437,194,3475
471,198,3546
491,196,3510
500,190,3406
519,189,3373
537,187,3341
555,185,3309
579,185,3309
596,183,3277
619,183,3277
642,183,3277
665,183,3277
681,181,3246
697,180,3216
727,181,3246
749,181,3246
787,185,3309
826,189,3373
858,190,3406
873,189,3373
888,187,3341
903,185,3309
926,185,3309
357,167,3406
389,170,3475
413,170,3475
437,170,3475
466,172,3510
486,170,3475
500,167,3406
514,163,3341
537,163,3341
555,162,3309
573,160,3277
596,160,3277
619,160,3277
642,160,3277
665,160,3277
688,160,3277
704,159,3246
727,159,3246
757,160,3277
787,162,3309
826,165,3373
850,165,3373
873,165,3373
888,163,3341
903,162,3309
917,160,3277
393,147,3510
413,146,3475
437,146,3475
462,146,3475
481,144,3440
500,143,3406
519,141,3373
537,140,3341
561,140,3341
579,139,3309
596,137,3277
619,137,3277
642,137,3277
665,137,3277
688,137,3277
711,137,3277
727,136,3246
757,137,3277
787,139,3309
818,140,3341
850,141,3373
873,141,3373
880,139,3309
903,139,3309
413,121,3475
433,120,3440
457,120,3440
481,120,3440
500,119,3406
524,119,3406
537,117,3341
561,117,3341
579,115,3309
602,115,3309
619,114,3277
642,114,3277
665,114,3277
688,114,3277
711,114,3277
734,114,3277
757,114,3277
787,115,3309
818,117,3341
841,117,3341
865,117,3341
880,115,3309
903,115,3309
389,97,3475
409,96,3440
429,95,3406
453,95,3406
481,96,3440
505,96,3440
524,95,3406
543,94,3373
561,93,3341
579,92,3309
602,92,3309
625,92,3309
642,91,3277
665,91,3277
688,91,3277
711,91,3277
734,91,3277
757,91,3277
779,91,3277
810,92,3309
