x,y,z
453,762,2942
415,748,2967
436,748,2967
453,742,2942
477,748,2967
498,748,2967
523,754,2993
401,740,3019
415,727,2967
436,727,2967
456,727,2967
477,727,2967
494,721,2942
519,727,2967
535,721,2942
387,732,3073
401,719,3019
415,706,2967
436,706,2967
456,706,2967
477,706,2967
498,706,2967
519,706,2967
540,706,2967
387,710,3073
405,704,3046
419,691,2993
436,685,2967
456,685,2967
477,685,2967
498,685,2967
519,685,2967
540,685,2967
575,704,3046
405,682,3046
422,676,3019
436,665,2967
453,659,2942
477,665,2967
494,659,2942
519,665,2967
540,665,2967
405,661,3046
422,655,3019
439,650,2993
456,644,2967
477,644,2967
494,638,2942
519,644,2967
540,644,2967
405,640,3046
422,634,3019
439,629,2993
460,629,2993
477,623,2967
494,618,2942
519,623,2967
540,623,2967
408,624,3073
426,618,3046
443,613,3019
456,602,2967
477,602,2967
498,602,2967
519,602,2967
540,602,2967
430,602,3073
447,597,3046
460,587,2993
481,587,2993
507,592,3019
528,592,3019
544,587,2993
430,581,3073
447,576,3046
464,571,3019
486,571,3019
511,576,3046
533,576,3046
564,586,3101
596,597,3157
427,585,3216
438,569,3129
447,554,3046
469,554,3046
490,554,3046
511,554,3046
537,559,3073
574,575,3157
591,569,3129
613,569,3129
640,575,3157
657,569,3129
691,580,3186
370,579,3309
389,573,3277
412,573,3277
431,568,3246
446,558,3186
459,548,3129
473,538,3073
490,533,3046
516,538,3073
552,552,3157
574,552,3157
591,548,3129
607,543,3101
635,548,3129
657,548,3129
672,543,3101
688,538,3073
350,561,3341
370,556,3309
389,551,3277
412,551,3277
427,540,3216
446,535,3186
468,535,3186
486,530,3157
503,526,3129
525,526,3129
552,530,3157
574,530,3157
591,526,3129
607,521,3101
629,521,3101
651,521,3101
672,521,3101
694,521,3101
709,516,3073
327,538,3341
347,533,3309
367,528,3277
389,528,3277
405,518,3216
427,518,3216
446,513,3186
468,513,3186
490,513,3186
512,513,3186
530,508,3157
552,508,3157
569,504,3129
591,504,3129
607,499,3101
629,499,3101
645,495,3073
666,495,3073
694,499,3101
709,495,3073
731,495,3073
