x,y,z
618,768,3046
634,761,3019
649,754,2993
670,754,2993
685,748,2967
706,748,2967
612,740,3019
628,733,2993
649,733,2993
670,733,2993
685,727,2967
706,727,2967
726,727,2967
618,725,3046
628,712,2993
649,712,2993
670,712,2993
685,706,2967
706,706,2967
726,706,2967
754,712,2993
618,704,3046
628,691,2993
643,685,2967
664,685,2967
685,685,2967
706,685,2967
726,685,2967
754,691,2993
602,688,3073
618,682,3046
628,671,2993
643,665,2967
670,671,2993
685,665,2967
700,659,2942
726,665,2967
607,673,3101
618,661,3046
634,655,3019
649,650,2993
664,644,2967
685,644,2967
706,644,2967
726,644,2967
754,650,2993
607,651,3101
618,640,3046
634,634,3019
649,629,2993
664,623,2967
685,623,2967
706,623,2967
726,623,2967
741,618,2942
623,624,3073
639,618,3046
655,613,3019
670,608,2993
691,608,2993
718,613,3019
733,608,2993
623,602,3073
639,597,3046
655,592,3019
676,592,3019
697,592,3019
718,592,3019
746,597,3046
618,597,3157
635,591,3129
639,576,3046
661,576,3046
682,576,3046
697,571,3019
724,576,3046
746,576,3046
550,596,3277
579,602,3309
596,596,3277
613,591,3246
624,580,3186
640,575,3157
651,564,3101
666,559,3073
682,554,3046
703,554,3046
731,559,3073
773,575,3157
825,596,3277
839,575,3157
527,573,3277
545,568,3246
573,573,3277
596,573,3277
607,563,3216
624,558,3186
640,552,3157
657,548,3129
666,538,3073
688,538,3073
709,538,3073
751,552,3157
780,558,3186
802,558,3186
825,558,3186
847,558,3186
504,551,3277
527,551,3277
550,551,3277
568,545,3246
596,551,3277
607,540,3216
624,535,3186
646,535,3186
663,530,3157
679,526,3129
694,521,3101
729,530,3157
758,535,3186
773,530,3157
795,530,3157
825,535,3186
847,535,3186
869,535,3186
486,533,3309
504,528,3277
527,528,3277
545,523,3246
568,523,3246
585,518,3216
602,513,3186
624,513,3186
646,513,3186
669,513,3186
685,508,3157
707,508,3157
729,508,3157
751,508,3157
773,508,3157
795,508,3157
817,508,3157
839,508,3157
861,508,3157
884,508,3157
463,510,3309
481,505,3277
499,500,3246
522,500,3246
545,500,3246
562,495,3216
579,491,3186
602,491,3186
624,491,3186
646,491,3186
669,491,3186
685,486,3157
707,486,3157
729,486,3157
751,486,3157
773,486,3157
795,486,3157
817,486,3157
839,486,3157
869,491,3186
892,491,3186
914,491,3186
440,486,3309
463,486,3309
481,482,3277
499,477,3246
522,477,3246
545,477,3246
562,473,3216
579,468,3186
602,468,3186
624,468,3186
646,468,3186
669,468,3186
691,468,3186
707,464,3157
729,464,3157
751,464,3157
773,464,3157
795,464,3157
817,464,3157
839,464,3157
869,468,3186
892,468,3186
906,464,3157
440,463,3309
463,463,3309
481,459,3277
499,454,3246
527,459,3277
545,454,3246
557,446,3186
579,446,3186
607,450,3216
624,446,3186
640,442,3157
669,446,3186
691,446,3186
707,442,3157
729,442,3157
751,442,3157
773,442,3157
795,442,3157
817,442,3157
847,446,3186
869,446,3186
892,446,3186
914,446,3186
420,444,3341
440,440,3309
463,440,3309
481,436,3277
499,432,3246
527,436,3277
545,432,3246
557,424,3186
579,424,3186
602,424,3186
624,424,3186
646,424,3186
669,424,3186
685,420,3157
