x,y,z
698,843,3440
722,843,3440
739,835,3406
762,835,3406
698,819,3440
715,811,3406
739,811,3406
762,811,3406
786,811,3406
810,811,3406
834,811,3406
667,787,3406
698,795,3440
715,787,3406
731,779,3373
762,787,3406
786,787,3406
802,779,3373
834,787,3406
650,771,3440
674,771,3440
691,763,3406
715,763,3406
739,763,3406
755,756,3373
779,756,3373
802,756,3373
826,756,3373
650,747,3440
674,747,3440
691,739,3406
715,739,3406
739,739,3406
762,739,3406
771,725,3341
802,732,3373
826,732,3373
674,723,3440
691,715,3406
715,715,3406
739,715,3406
755,708,3373
779,708,3373
810,715,3406
826,708,3373
674,698,3440
698,698,3440
715,692,3406
731,685,3373
755,685,3373
786,692,3406
810,692,3406
834,692,3406
681,681,3475
698,674,3440
715,668,3406
739,668,3406
762,668,3406
779,661,3373
810,668,3406
834,668,3406
866,674,3440
674,650,3440
698,650,3440
715,644,3406
739,644,3406
755,638,3373
794,650,3440
810,644,3406
826,638,3373
850,638,3373
667,620,3406
698,626,3440
722,626,3440
746,626,3440
762,620,3406
794,626,3440
818,626,3440
834,620,3406
858,620,3406
873,614,3373
871,596,3277
667,596,3406
698,602,3440
722,602,3440
746,602,3440
770,602,3440
794,602,3440
818,602,3440
834,596,3406
850,590,3373
857,579,3309
871,573,3277
894,573,3277
908,568,3246
931,568,3246
691,572,3406
722,578,3440
746,578,3440
778,584,3475
794,578,3440
810,572,3406
826,567,3373
833,556,3309
848,551,3277
863,545,3246
878,540,3216
900,540,3216
931,545,3246
963,551,3277
786,565,3510
794,554,3440
810,548,3406
826,543,3373
825,528,3277
848,528,3277
863,523,3246
869,513,3186
892,513,3186
923,518,3216
954,523,3246
977,523,3246
786,524,3406
802,519,3373
818,514,3341
825,505,3277
848,505,3277
855,495,3216
878,495,3216
900,495,3216
914,491,3186
945,495,3216
968,495,3216
762,501,3406
786,501,3406
802,496,3373
810,486,3309
833,486,3309
848,482,3277
855,473,3216
878,473,3216
900,473,3216
914,468,3186
936,468,3186
959,468,3186
762,477,3406
786,477,3406
795,468,3341
810,463,3309
833,463,3309
848,459,3277
863,454,3246
878,450,3216
892,446,3186
914,446,3186
936,446,3186
959,446,3186
981,446,3186
762,453,3406
779,448,3373
787,440,3309
810,440,3309
833,440,3309
848,436,3277
871,436,3277
886,432,3246
892,424,3186
914,424,3186
936,424,3186
959,424,3186
981,424,3186
746,433,3440
770,433,3440
779,425,3373
787,417,3309
802,413,3277
833,417,3309
848,413,3277
863,409,3246
878,405,3216
892,401,3186
906,398,3157
936,401,3186
959,401,3186
990,405,3216
770,409,3440
771,397,3341
787,394,3309
810,394,3309
825,390,3277
848,390,3277
863,386,3246
878,383,3216
892,379,3186
906,376,3157
936,379,3186
959,379,3186
981,379,3186
762,381,3406
779,378,3373
787,370,3309
810,370,3309
825,367,3277
848,367,3277
863,363,3246
878,360,3216
892,357,3186
906,353,3157
936,357,3186
959,357,3186
972,353,3157
762,357,3406
779,354,3373
787,347,3309
810,347,3309
825,344,3277
848,344,3277
871,344,3277
878,337,3216
892,334,3186
914,334,3186
936,334,3186
950,331,3157
972,331,3157
761,344,3510
762,334,3406
771,327,3341
787,324,3309
810,324,3309
825,321,3277
848,321,3277
871,321,3277
886,318,3246
892,312,3186
906,309,3157
936,312,3186
959,312,3186
972,309,3157
754,316,3475
762,310,3406
779,307,3373
795,304,3341
810,301,3309
833,301,3309
848,298,3277
871,298,3277
878,292,3216
892,290,3186
906,287,3157
928,287,3157
959,290,3186
981,290,3186
737,295,3510
754,292,3475
