x,y,z
-664,442,3157
-636,438,3129
-614,438,3129
-603,446,3186
-692,424,3186
-664,420,3157
-641,420,3157
-619,420,3157
-597,420,3157
-580,424,3186
-686,398,3157
-658,394,3129
-641,398,3157
-614,394,3129
-592,394,3129
-575,398,3157
-708,376,3157
-686,376,3157
-652,369,3101
-630,369,3101
-614,372,3129
-592,372,3129
-575,376,3157
-553,376,3157
-708,353,3157
-680,350,3129
-652,347,3101
-624,344,3073
-608,347,3101
-597,353,3157
-575,353,3157
-558,357,3186
-531,353,3157
-1020,347,3309
-708,331,3157
-673,325,3101
-646,322,3073
-624,322,3073
-608,325,3101
-597,331,3157
-580,334,3186
-558,334,3186
-536,334,3186
-1033,321,3277
-1000,318,3246
-997,324,3309
-673,304,3101
-652,304,3101
-624,301,3073
-608,304,3101
-597,309,3157
-575,309,3157
-553,309,3157
-536,312,3186
-1014,292,3216
-991,292,3216
-987,298,3277
-973,301,3309
-929,326,3583
-680,284,3129
-652,282,3101
-630,282,3101
-614,284,3129
-597,287,3157
-580,290,3186
-558,290,3186
-541,292,3216
-533,301,3309
-505,298,3277
-482,298,3277
-1020,278,3309
-997,278,3309
-973,278,3309
-950,278,3309
-954,286,3406
-930,286,3406
-916,289,3440
-910,295,3510
-876,292,3475
-860,295,3510
-844,298,3546
-811,295,3510
-680,263,3129
-658,263,3129
-636,263,3129
-619,265,3157
-597,265,3157
-580,267,3186
-558,267,3186
-536,267,3186
-528,275,3277
-505,275,3277
-482,275,3277
-459,275,3277
-436,275,3277
-410,272,3246
-387,272,3246
-368,275,3277
-345,275,3277
-322,275,3277
-1030,257,3341
-1006,257,3341
-973,255,3309
-959,257,3341
-954,262,3406
-940,265,3440
-916,265,3440
-901,267,3475
-876,267,3475
-852,267,3475
-836,270,3510
-811,270,3510
-779,267,3475
-740,262,3406
-664,243,3157
-636,241,3129
-614,241,3129
-597,243,3157
-580,245,3186
-558,245,3186
-536,245,3186
-523,250,3246
-505,252,3277
-478,250,3246
-455,250,3246
-432,250,3246
-406,247,3216
-387,250,3246
-368,252,3277
-345,252,3277
-322,252,3277
-299,252,3277
-278,255,3309
-258,257,3341
-232,255,3309
-211,257,3341
-188,257,3341
-166,259,3373
-142,259,3373
-1006,234,3341
-983,234,3341
-959,234,3341
-954,238,3406
-940,241,3440
-916,241,3440
-901,243,3475
-876,243,3475
-860,245,3510
-836,245,3510
-803,243,3475
-779,243,3475
-740,238,3406
-670,223,3186
-636,219,3129
-619,221,3157
-597,221,3157
-580,223,3186
-563,225,3216
-541,225,3216
-523,227,3246
-500,227,3246
-473,225,3216
-451,225,3216
-428,225,3216
-402,223,3186
-383,225,3216
-364,227,3246
-341,227,3246
-322,229,3277
-299,229,3277
-276,229,3277
-255,231,3309
-232,231,3309
-211,234,3341
-188,234,3341
-164,234,3341
-142,236,3373
-117,234,3341
-94,234,3341
-919,223,3546
-885,221,3510
-878,225,3583
-836,221,3510
-803,219,3475
-771,216,3440
-747,216,3440
-716,214,3406
-647,200,3186
-619,199,3157
-597,199,3157
-580,200,3186
-569,204,3246
-546,204,3246
-523,204,3246
-500,204,3246
-478,204,3246
-451,202,3216
-424,200,3186
-402,200,3186
-380,200,3186
-357,200,3186
-341,204,3246
-322,206,3277
-299,206,3277
-276,206,3277
-253,206,3277
-232,208,3309
-209,208,3309
-188,210,3341
-164,210,3341
-142,212,3373
-119,212,3373
-95,212,3373
-72,214,3406
-48,214,3406
-25,216,3440
-903,200,3583
-811,196,3510
-779,194,3475
-747,192,3440
-723,192,3440
-685,189,3373
-637,181,3246
-608,180,3216
-591,181,3246
-569,181,3246
-546,181,3246
-523,181,3246
-500,181,3246
-478,181,3246
-451,180,3216
-424,178,3186
-406,180,3216
-380,178,3186
-357,178,3186
-341,181,3246
-322,183,3277
-299,183,3277
-276,183,3277
-255,185,3309
-232,185,3309
-209,185,3309
-186,185,3309
-164,187,3341
-142,189,3373
-119,189,3373
-96,190,3406
-73,192,3440
-49,192,3440
-25,192,3440
-803,170,3475
-779,170,3475
-747,168,3440
-723,168,3440
-692,167,3406
-662,165,3373
-626,162,3309
-603,162,3309
-574,160,3277
-551,160,3277
-523,159,3246
-505,160,3277
-478,159,3246
-447,156,3186
-428,157,3216
-406,157,3216
-383,157,3216
-364,159,3246
-341,159,3246
-322,160,3277
-299,160,3277
-276,160,3277
-255,162,3309
-232,162,3309
-209,162,3309
-186,162,3309
-164,163,3341
-142,165,3373
-120,167,3406
-96,167,3406
-73,168,3440
-49,168,3440
-25,168,3440
0,170,3475
24,173,3546
50,175,3583
-755,146,3475
-730,146,3475
-699,144,3440
-668,143,3406
-638,141,3373
-603,139,3309
-580,139,3309
-551,137,3277
-528,137,3277
-505,137,3277
-478,136,3246
-447,133,3186
-432,136,3246
-410,136,3246
-387,136,3246
-368,137,3277
-345,137,3277
-325,139,3309
-302,139,3309
-278,139,3309
-255,139,3309
-232,139,3309
-209,139,3309
-188,140,3341
-164,140,3341
-49,146,3475
-25,144,3440
0,147,3510
25,150,3583
50,150,3583
75,150,3583
-699,120,3440
