x,y,z
-246,825,3186
-224,825,3186
-199,818,3157
-179,825,3186
-266,796,3157
-246,803,3186
-222,796,3157
-199,796,3157
-177,796,3157
-157,803,3186
-283,760,3101
-263,767,3129
-244,774,3157
-220,767,3129
-199,774,3157
-177,774,3157
-157,781,3186
-134,781,3186
-288,752,3157
-266,752,3157
-244,752,3157
-220,745,3129
-199,752,3157
-177,752,3157
-155,752,3157
-134,758,3186
-313,736,3186
-288,729,3157
-266,729,3157
-244,729,3157
-222,729,3157
-199,729,3157
-177,729,3157
-157,736,3186
-134,736,3186
-313,714,3186
-288,707,3157
-266,707,3157
-244,707,3157
-222,707,3157
-199,707,3157
-177,707,3157
-157,714,3186
-134,714,3186
-313,691,3186
-288,685,3157
-266,685,3157
-244,685,3157
-222,685,3157
-201,691,3186
-179,691,3186
-157,691,3186
-134,691,3186
-290,669,3186
-268,669,3186
-246,669,3186
-224,669,3186
-201,669,3186
-179,669,3186
-157,669,3186
-136,675,3216
-290,647,3186
-268,647,3186
-248,653,3216
-226,653,3216
-203,653,3216
-179,647,3186
-158,653,3216
-290,624,3186
-268,624,3186
-248,630,3216
-226,630,3216
-203,630,3216
-182,636,3246
-161,642,3277
-296,614,3246
-271,608,3216
-248,608,3216
-226,608,3216
-205,614,3246
-184,619,3277
-161,619,3277
-144,644,3406
-273,591,3246
-248,585,3216
-228,591,3246
-207,596,3277
-184,596,3277
-161,596,3277
-139,602,3309
-116,602,3309
-338,602,3440
-310,596,3406
-281,585,3341
-253,573,3277
-230,573,3277
-209,579,3309
-186,579,3309
-161,573,3277
-138,573,3277
-115,573,3277
-92,573,3277
-70,579,3309
-362,578,3440
-338,578,3440
-310,572,3406
-284,567,3373
-258,561,3341
-234,561,3341
-209,556,3309
-186,556,3309
-163,556,3309
-138,551,3277
-115,551,3277
-92,551,3277
-69,551,3277
-46,551,3277
-23,551,3277
-386,554,3440
-362,554,3440
-334,548,3406
-310,548,3406
-281,538,3341
-255,533,3309
-232,533,3309
-209,533,3309
-186,533,3309
-161,528,3277
-138,528,3277
-115,528,3277
-92,528,3277
-69,528,3277
-46,523,3246
-23,523,3246
0,538,3341
-386,530,3440
-358,524,3406
-334,524,3406
-305,514,3341
-278,510,3309
-255,510,3309
-232,510,3309
-207,505,3277
-186,510,3309
-161,505,3277
-138,505,3277
-115,505,3277
-91,500,3246
-69,500,3246
-46,495,3216
-23,500,3246
0,510,3309
-386,506,3440
-358,501,3406
-331,496,3373
-302,486,3309
-276,482,3277
-255,486,3309
-232,486,3309
-207,482,3277
-184,482,3277
-161,482,3277
-138,482,3277
-115,482,3277
-91,477,3246
-69,477,3246
-46,477,3246
-23,477,3246
0,486,3309
23,486,3309
-386,482,3440
-358,477,3406
-328,468,3341
-302,463,3309
-276,459,3277
-253,459,3277
-230,459,3277
-207,459,3277
-184,459,3277
-161,459,3277
-138,459,3277
-115,459,3277
-91,454,3246
-69,454,3246
-46,454,3246
-23,454,3246
0,459,3277
22,459,3277
45,459,3277
-386,457,3440
-358,453,3406
-328,444,3341
-307,448,3373
-281,444,3341
-253,436,3277
-230,436,3277
-207,436,3277
-184,436,3277
-161,436,3277
-138,436,3277
-115,436,3277
-92,436,3277
-69,432,3246
-46,432,3246
-23,432,3246
0,440,3309
22,436,3277
45,436,3277
-386,433,3440
-358,429,3406
-331,425,3373
-310,429,3406
-284,425,3373
-253,413,3277
-230,413,3277
-207,413,3277
-184,413,3277
-160,409,3246
-138,413,3277
-115,413,3277
-92,413,3277
-69,409,3246
-46,413,3277
-23,413,3277
0,417,3309
22,413,3277
46,417,3309
69,417,3309
-382,405,3406
-358,405,3406
-331,401,3373
-307,401,3373
-281,397,3341
-255,394,3309
-230,390,3277
-207,390,3277
-182,386,3246
-160,386,3246
-138,390,3277
-115,390,3277
-92,390,3277
-69,390,3277
-46,390,3277
-23,386,3246
0,390,3277
23,394,3309
46,394,3309
69,394,3309
92,394,3309
-386,385,3440
-355,378,3373
-328,374,3341
-302,370,3309
-278,370,3309
-253,367,3277
-232,370,3309
-207,367,3277
-184,367,3277
-161,367,3277
-138,367,3277
-115,367,3277
-92,367,3277
-69,367,3277
-46,367,3277
-23,367,3277
0,370,3309
23,370,3309
46,370,3309
69,370,3309
92,370,3309
113,363,3246
-382,357,3406
-355,354,3373
-325,347,3309
-302,347,3309
-278,347,3309
-253,344,3277
-232,347,3309
-207,344,3277
-184,344,3277
-161,344,3277
-138,344,3277
-115,344,3277
-93,347,3309
-70,347,3309
-47,347,3309
-24,347,3309
0,351,3341
23,347,3309
46,347,3309
69,347,3309
92,347,3309
115,347,3309
-382,334,3406
-358,334,3406
-328,327,3341
-302,324,3309
-278,324,3309
-255,324,3309
-232,324,3309
-207,321,3277
-184,321,3277
-161,321,3277
-138,321,3277
-116,324,3309
-93,324,3309
-70,324,3309
-47,324,3309
-24,324,3309
0,327,3341
23,324,3309
46,324,3309
69,324,3309
92,324,3309
115,324,3309
138,324,3309
-382,310,3406
-355,307,3373
-328,304,3341
-302,301,3309
-278,301,3309
-255,301,3309
-232,301,3309
-209,301,3309
-186,301,3309
-163,301,3309
-139,301,3309
-116,301,3309
-93,301,3309
-70,301,3309
-47,301,3309
-24,307,3373
0,307,3373
23,301,3309
46,301,3309
69,301,3309
92,301,3309
115,301,3309
138,301,3309
-382,286,3406
-355,283,3373
-328,280,3341
-302,278,3309
-278,278,3309
-255,278,3309
-232,278,3309
-209,278,3309
-186,278,3309
-163,278,3309
-141,280,3341
-117,280,3341
-93,278,3309
-71,280,3341
-48,283,3373
-24,283,3373
0,286,3406
23,280,3341
46,278,3309
69,278,3309
92,278,3309
115,278,3309
138,278,3309
160,275,3277
-382,262,3406
-355,259,3373
-328,257,3341
-302,255,3309
-278,255,3309
-255,255,3309
-232,255,3309
-209,255,3309
-186,255,3309
-163,255,3309
-139,255,3309
-117,257,3341
-94,257,3341
-71,259,3373
-48,262,3406
-24,262,3406
0,259,3373
91,252,3277
113,250,3246
137,252,3277
159,250,3246
-386,241,3440
-358,238,3406
-331,236,3373
-305,234,3341
-278,231,3309
-255,231,3309
-232,231,3309
-209,231,3309
-186,231,3309
-163,231,3309
-139,231,3309
-117,234,3341
-95,236,3373
-71,236,3373
-48,238,3406
-24,238,3406
86,217,3101
107,215,3073
131,219,3129
157,225,3216
-431,228,3621
-386,216,3440
-355,212,3373
-331,212,3373
-305,210,3341
-278,208,3309
-255,208,3309
-232,208,3309
-209,208,3309
-186,208,3309
-163,208,3309
-141,210,3341
-117,210,3341
-94,210,3341
-71,210,3341
-48,212,3373
-24,212,3373
65,195,3101
86,195,3101
107,193,3073
130,195,3101
151,195,3101
-477,211,3779
-427,200,3583
-386,192,3440
-355,189,3373
-328,187,3341
-305,187,3341
-278,185,3309
-255,185,3309
-232,185,3309
-209,185,3309
-186,185,3309
-163,185,3309
-141,187,3341
-117,187,3341
-93,185,3309
-71,187,3341
-48,189,3373
-24,187,3341
87,175,3129
108,173,3101
130,173,3101
150,172,3073
173,173,3101
-466,181,3698
-427,175,3583
-386,168,3440
-355,165,3373
-328,163,3341
-305,163,3341
-278,162,3309
-255,162,3309
-232,162,3309
-209,162,3309
-186,162,3309
-163,162,3309
-141,163,3341
-117,163,3341
-93,162,3309
-71,165,3373
-48,167,3406
-24,163,3341
43,150,3073
65,152,3101
89,156,3186
109,153,3129
130,152,3101
151,152,3101
175,153,3129
-466,155,3698
-427,150,3583
-386,144,3440
-355,141,3373
-331,141,3373
-307,141,3373
-278,139,3309
-255,139,3309
-232,139,3309
-209,139,3309
-186,139,3309
-164,140,3341
-141,140,3341
-117,140,3341
-93,139,3309
-71,140,3341
-48,141,3373
-24,143,3406
22,132,3157
43,130,3101
64,129,3073
86,130,3101
109,131,3129
131,131,3129
153,131,3129
-492,129,3698
-462,128,3659
-422,124,3546
-386,120,3440
-358,119,3406
-331,118,3373
-305,117,3341
-284,118,3373
-255,115,3309
-232,115,3309
-209,115,3309
-186,115,3309
-164,117,3341
-141,117,3341
-116,115,3309
-93,115,3309
-71,117,3341
-47,117,3341
-518,103,3698
-492,103,3698
-462,102,3659
-427,100,3583
-390,97,3475
-358,95,3406
-331,94,3373
-305,93,3341
-278,92,3309
-258,93,3341
-232,92,3309
-209,92,3309
-186,92,3309
-163,92,3309
-139,92,3309
-116,92,3309
-94,93,3341
-71,94,3373
-518,77,3698
-492,77,3698
-447,74,3546
-422,74,3546
-390,73,3475
-362,72,3440
-334,71,3406
-305,70,3341
-278,69,3309
-258,70,3341
-232,69,3309
-209,69,3309
-186,69,3309
-163,69,3309
-139,69,3309
-116,69,3309
-95,70,3373
-550,52,3738
-513,51,3659
-477,50,3583
-434,48,3440
-414,48,3475
-390,48,3475
-362,48,3440
-334,47,3406
-307,47,3373
-281,46,3341
-258,46,3341
-234,46,3341
-209,46,3309
