x,y,z
613,773,3246
555,765,3309
573,757,3277
590,750,3246
607,743,3216
630,743,3216
646,736,3186
669,736,3186
550,734,3277
568,727,3246
585,721,3216
602,714,3186
624,714,3186
646,714,3186
669,714,3186
550,711,3277
562,698,3216
585,698,3216
607,698,3216
624,691,3186
646,691,3186
669,691,3186
691,691,3186
527,688,3277
550,688,3277
562,675,3216
579,669,3186
602,669,3186
624,669,3186
646,669,3186
669,669,3186
691,669,3186
545,659,3246
568,659,3246
579,647,3186
602,647,3186
624,647,3186
646,647,3186
669,647,3186
691,647,3186
527,642,3277
550,642,3277
568,636,3246
585,630,3216
602,624,3186
624,624,3186
646,624,3186
669,624,3186
691,624,3186
527,619,3277
545,614,3246
568,614,3246
585,608,3216
602,602,3186
624,602,3186
652,608,3216
675,608,3216
704,614,3246
550,596,3277
573,596,3277
590,591,3246
607,585,3216
624,580,3186
652,585,3216
681,591,3246
718,602,3309
566,590,3373
579,579,3309
596,573,3277
613,568,3246
642,573,3277
665,573,3277
694,579,3309
731,590,3373
762,596,3406
546,596,3546
565,590,3510
577,578,3440
584,561,3341
602,556,3309
619,551,3277
642,551,3277
671,556,3309
708,567,3373
739,572,3406
770,578,3440
794,578,3440
491,565,3510
515,565,3510
540,565,3510
565,565,3510
577,554,3440
590,543,3373
602,533,3309
625,533,3309
648,533,3309
684,543,3373
715,548,3406
739,548,3406
762,548,3406
786,548,3406
818,554,3440
834,548,3406
858,548,3406
451,552,3583
471,546,3546
486,535,3475
510,535,3475
535,535,3475
559,535,3475
577,530,3440
602,530,3440
608,514,3341
637,519,3373
667,524,3406
691,524,3406
715,524,3406
739,524,3406
755,519,3373
779,519,3373
810,524,3406
834,524,3406
850,519,3373
865,514,3341
435,538,3659
451,527,3583
471,521,3546
491,516,3510
505,506,3440
535,511,3475
553,506,3440
577,506,3440
602,506,3440
619,501,3406
643,501,3406
667,501,3406
691,501,3406
715,501,3406
739,501,3406
762,501,3406
786,501,3406
810,501,3406
834,501,3406
858,501,3406
882,501,3406
421,496,3546
446,496,3546
466,491,3510
491,491,3510
510,486,3475
535,486,3475
559,486,3475
577,482,3440
596,477,3406
619,477,3406
643,477,3406
667,477,3406
691,477,3406
715,477,3406
739,477,3406
762,477,3406
786,477,3406
810,477,3406
834,477,3406
858,477,3406
882,477,3406
906,477,3406
414,492,3698
421,472,3546
442,467,3510
466,467,3510
486,462,3475
510,462,3475
535,462,3475
559,462,3475
577,457,3440
596,453,3406
619,453,3406
643,453,3406
667,453,3406
691,453,3406
715,453,3406
731,448,3373
755,448,3373
779,448,3373
802,448,3373
834,453,3406
858,453,3406
882,453,3406
906,453,3406
414,466,3698
426,451,3583
442,442,3510
466,442,3510
491,442,3510
510,438,3475
529,433,3440
553,433,3440
577,433,3440
602,433,3440
619,429,3406
643,429,3406
667,429,3406
691,429,3406
715,429,3406
739,429,3406
762,429,3406
786,429,3406
810,429,3406
834,429,3406
858,429,3406
882,429,3406
915,433,3440
397,422,3546
426,426,3583
446,422,3546
471,422,3546
491,418,3510
515,418,3510
535,413,3475
553,409,3440
577,409,3440
596,405,3406
619,405,3406
643,405,3406
667,405,3406
691,405,3406
715,405,3406
739,405,3406
762,405,3406
786,405,3406
810,405,3406
834,405,3406
858,405,3406
882,405,3406
924,413,3475
401,401,3583
426,401,3583
451,401,3583
471,397,3546
491,393,3510
510,389,3475
535,389,3475
553,385,3440
577,385,3440
602,385,3440
626,385,3440
643,381,3406
667,381,3406
691,381,3406
708,378,3373
731,378,3373
762,381,3406
786,381,3406
810,381,3406
834,381,3406
858,381,3406
882,381,3406
915,385,3440
401,376,3583
421,372,3546
446,372,3546
471,372,3546
491,368,3510
510,365,3475
535,365,3475
553,361,3440
577,361,3440
602,361,3440
619,357,3406
643,357,3406
667,357,3406
691,357,3406
715,357,3406
731,354,3373
762,357,3406
786,357,3406
810,357,3406
834,357,3406
866,361,3440
891,361,3440
906,357,3406
376,351,3583
401,351,3583
426,351,3583
451,351,3583
471,347,3546
491,344,3510
510,340,3475
529,337,3440
559,340,3475
577,337,3440
602,337,3440
619,334,3406
650,337,3440
681,340,3475
705,340,3475
715,334,3406
739,334,3406
762,334,3406
786,334,3406
810,334,3406
842,337,3440
866,337,3440
891,337,3440
915,337,3440
351,326,3583
384,333,3659
405,329,3621
430,329,3621
456,329,3621
476,326,3583
496,322,3546
515,319,3510
535,316,3475
553,313,3440
577,313,3440
602,313,3440
626,313,3440
650,313,3440
695,322,3546
712,319,3510
715,310,3406
739,310,3406
762,310,3406
786,310,3406
818,313,3440
851,316,3475
875,316,3475
891,313,3440
915,313,3440
939,313,3440
388,310,3698
409,307,3659
430,304,3621
456,304,3621
476,301,3583
496,298,3546
521,298,3546
535,292,3475
553,289,3440
577,289,3440
602,289,3440
626,289,3440
643,286,3406
667,286,3406
698,289,3440
715,286,3406
739,286,3406
762,286,3406
794,289,3440
818,289,3440
851,292,3475
884,295,3510
900,292,3475
933,295,3510
958,295,3510
362,284,3698
388,284,3698
414,284,3698
430,279,3621
461,281,3659
481,279,3621
501,276,3583
521,273,3546
540,270,3510
559,267,3475
583,267,3475
608,267,3475
626,265,3440
643,262,3406
667,262,3406
691,262,3406
715,262,3406
739,262,3406
762,262,3406
794,265,3440
818,265,3440
851,267,3475
893,273,3546
918,273,3546
943,273,3546
958,270,3510
362,259,3698
388,259,3698
414,259,3698
430,253,3621
481,253,3621
512,256,3659
521,248,3546
540,245,3510
559,243,3475
583,243,3475
602,241,3440
626,241,3440
650,241,3440
667,238,3406
691,238,3406
715,238,3406
739,238,3406
762,238,3406
794,241,3440
835,245,3510
868,248,3546
902,251,3583
918,248,3546
943,248,3546
958,245,3510
973,243,3475
336,233,3698
362,233,3698
388,233,3698
414,233,3698
435,230,3659
491,233,3698
512,230,3659
526,225,3583
540,221,3510
553,216,3440
577,216,3440
602,216,3440
626,216,3440
650,216,3440
661,212,3373
691,214,3406
722,216,3440
746,216,3440
770,216,3440
794,216,3440
835,221,3510
868,223,3546
893,223,3546
918,223,3546
943,223,3546
958,221,3510
973,219,3475
336,207,3698
362,207,3698
388,207,3698
414,207,3698
491,207,3698
512,205,3659
526,200,3583
540,196,3510
559,194,3475
577,192,3440
602,192,3440
626,192,3440
650,192,3440
667,190,3406
691,190,3406
722,192,3440
746,192,3440
770,192,3440
794,192,3440
835,196,3510
868,198,3546
893,198,3546
918,198,3546
943,198,3546
968,198,3546
982,196,3510
997,194,3475
1011,192,3440
336,181,3698
362,181,3698
388,181,3698
491,181,3698
506,177,3621
526,175,3583
546,173,3546
565,172,3510
577,168,3440
602,168,3440
619,167,3406
643,167,3406
674,168,3440
691,167,3406
715,167,3406
739,167,3406
762,167,3406
794,168,3440
827,170,3475
868,173,3546
893,173,3546
909,172,3510
943,173,3546
968,173,3546
992,173,3546
1007,172,3510
336,155,3698
358,153,3659
384,153,3659
486,153,3659
501,150,3583
526,150,3583
551,150,3583
565,147,3510
583,146,3475
602,144,3440
626,144,3440
643,143,3406
674,144,3440
698,144,3440
715,143,3406
739,143,3406
762,143,3406
794,144,3440
827,146,3475
851,146,3475
884,147,3510
891,144,3440
924,146,3475
958,147,3510
992,149,3546
314,130,3738
336,129,3698
358,128,3659
526,125,3583
551,125,3583
570,124,3546
583,121,3475
602,120,3440
626,120,3440
650,120,3440
667,119,3406
691,119,3406
715,119,3406
746,120,3440
770,120,3440
794,120,3440
827,121,3475
851,121,3475
875,121,3475
906,119,3406
948,121,3475
982,122,3510
997,121,3475
310,103,3698
332,102,3659
526,100,3583
551,100,3583
570,99,3546
589,98,3510
602,96,3440
626,96,3440
650,96,3440
674,96,3440
698,96,3440
722,96,3440
746,96,3440
770,96,3440
794,96,3440
818,96,3440
842,96,3440
968,99,3546
992,99,3546
997,97,3475
304,76,3621
329,76,3621
506,76,3621
526,75,3583
546,74,3546
570,74,3546
589,73,3510
608,73,3475
626,72,3440
650,72,3440
674,72,3440
698,72,3440
722,72,3440
746,72,3440
770,72,3440
794,72,3440
818,72,3440
842,72,3440
978,75,3583
992,74,3546
997,73,3475
281,51,3659
304,50,3621
326,50,3583
506,50,3621
526,50,3583
551,50,3583
570,49,3546
595,49,3546
608,48,3475
626,48,3440
650,48,3440
674,48,3440
698,48,3440
722,48,3440
746,48,3440
770,48,3440
794,48,3440
835,49,3510
868,49,3546
992,49,3546
1007,49,3510
256,25,3659
278,25,3621
304,25,3621
506,25,3621
526,25,3583
546,24,3546
570,24,3546
589,24,3510
614,24,3510
632,24,3475
656,24,3475
681,24,3475
698,24,3440
729,24,3475
746,24,3440
770,24,3440
802,24,3475
843,24,3546
877,25,3583
982,24,3510
997,24,3475
1031,24,3510
256,0,3659
278,0,3621
304,0,3621
476,0,3583
501,0,3583
526,0,3583
546,0,3546
570,0,3546
589,0,3510
608,0,3475
632,0,3475
656,0,3475
674,0,3440
698,0,3440
722,0,3440
746,0,3440
770,0,3440
794,0,3440
827,0,3475
868,0,3546
963,0,3440
997,0,3475
1021,0,3475
232,-26,3698
256,-26,3659
275,-26,3583
300,-26,3583
481,-26,3621
501,-26,3583
521,-25,3546
546,-25,3546
570,-25,3546
589,-25,3510
608,-25,3475
632,-25,3475
650,-25,3440
674,-25,3440
698,-25,3440
722,-25,3440
746,-25,3440
762,-24,3406
794,-25,3440
818,-25,3440
859,-25,3510
997,-25,3475
1021,-25,3475
1025,-24,3406
232,-52,3698
256,-52,3659
275,-51,3583
481,-51,3621
501,-51,3583
521,-50,3546
540,-50,3510
565,-50,3510
589,-50,3510
608,-49,3475
638,-50,3510
656,-49,3475
674,-49,3440
698,-49,3440
722,-49,3440
746,-49,3440
762,-48,3406
786,-48,3406
818,-49,3440
851,-49,3475
997,-49,3475
1021,-49,3475
1035,-49,3440
476,-80,3779
481,-77,3621
501,-76,3583
521,-75,3546
540,-74,3510
565,-74,3510
589,-74,3510
614,-74,3510
638,-74,3510
656,-74,3475
681,-74,3475
705,-74,3475
722,-73,3440
746,-73,3440
762,-72,3406
786,-72,3406
810,-72,3406
842,-73,3440
953,-72,3406
997,-74,3475
1021,-74,3475
465,-104,3698
481,-102,3621
496,-100,3546
521,-100,3546
540,-99,3510
559,-98,3475
589,-99,3510
614,-99,3510
638,-99,3510
656,-98,3475
681,-98,3475
705,-98,3475
722,-97,3440
746,-97,3440
770,-97,3440
786,-96,3406
810,-96,3406
834,-96,3406
926,-93,3309
958,-94,3341
461,-129,3659
481,-127,3621
496,-125,3546
521,-125,3546
540,-123,3510
559,-122,3475
589,-123,3510
608,-122,3475
632,-122,3475
656,-122,3475
681,-122,3475
698,-121,3440
722,-121,3440
746,-121,3440
770,-121,3440
794,-121,3440
810,-120,3406
834,-120,3406
481,-153,3621
501,-151,3583
521,-150,3546
540,-148,3510
559,-147,3475
583,-147,3475
608,-147,3475
632,-147,3475
650,-145,3440
674,-145,3440
698,-145,3440
722,-145,3440
746,-145,3440
770,-145,3440
794,-145,3440
810,-144,3406
834,-144,3406
476,-176,3583
496,-174,3546
521,-174,3546
540,-173,3510
565,-173,3510
589,-173,3510
608,-171,3475
632,-171,3475
656,-171,3475
681,-171,3475
698,-169,3440
722,-169,3440
746,-169,3440
770,-169,3440
794,-169,3440
810,-168,3406
842,-169,3440
858,-168,3406
481,-203,3621
496,-199,3546
521,-199,3546
546,-199,3546
565,-197,3510
589,-197,3510
614,-197,3510
638,-197,3510
663,-197,3510
687,-197,3510
705,-195,3475
722,-193,3440
746,-193,3440
770,-193,3440
794,-193,3440
818,-193,3440
842,-193,3440
858,-191,3406
476,-226,3583
496,-224,3546
521,-224,3546
546,-224,3546
565,-222,3510
589,-222,3510
614,-222,3510
638,-222,3510
670,-224,3546
695,-224,3546
712,-222,3510
722,-217,3440
746,-217,3440
770,-217,3440
786,-215,3406
810,-215,3406
842,-217,3440
858,-215,3406
476,-252,3583
496,-249,3546
521,-249,3546
540,-246,3510
559,-244,3475
589,-246,3510
620,-249,3546
638,-246,3510
670,-249,3546
695,-249,3546
705,-244,3475
729,-244,3475
754,-244,3475
770,-242,3440
786,-239,3406
810,-239,3406
842,-242,3440
858,-239,3406
476,-277,3583
501,-277,3583
521,-274,3546
546,-274,3546
565,-271,3510
589,-271,3510
620,-274,3546
645,-274,3546
643,-263,3406
695,-274,3546
712,-271,3510
722,-266,3440
746,-266,3440
770,-266,3440
786,-263,3406
818,-266,3440
842,-266,3440
858,-263,3406
471,-299,3546
501,-302,3583
526,-302,3583
546,-299,3546
565,-296,3510
589,-296,3510
620,-299,3546
645,-299,3546
702,-302,3583
712,-296,3510
729,-293,3475
746,-290,3440
770,-290,3440
794,-290,3440
818,-290,3440
842,-290,3440
866,-290,3440
451,-327,3583
471,-323,3546
501,-327,3583
521,-323,3546
546,-323,3546
565,-320,3510
589,-320,3510
620,-323,3546
652,-327,3583
695,-323,3546
712,-320,3510
737,-320,3510
746,-314,3440
770,-314,3440
794,-314,3440
818,-314,3440
842,-314,3440
866,-314,3440
461,-359,3659
481,-356,3621
501,-352,3583
521,-348,3546
546,-348,3546
565,-345,3510
583,-341,3475
620,-348,3546
712,-345,3510
737,-345,3510
754,-341,3475
770,-338,3440
794,-338,3440
818,-338,3440
842,-338,3440
481,-381,3621
501,-377,3583
521,-373,3546
540,-369,3510
565,-369,3510
589,-369,3510
620,-373,3546
719,-373,3546
737,-369,3510
754,-366,3475
770,-362,3440
794,-362,3440
818,-362,3440
842,-362,3440
496,-398,3546
521,-398,3546
546,-398,3546
565,-394,3510
595,-398,3546
620,-398,3546
702,-402,3583
719,-398,3546
737,-394,3510
754,-390,3475
778,-390,3475
794,-386,3440
818,-386,3440
842,-386,3440
501,-427,3583
521,-423,3546
546,-423,3546
570,-423,3546
595,-423,3546
614,-419,3510
695,-423,3546
719,-423,3546
744,-423,3546
761,-419,3510
778,-414,3475
794,-410,3440
818,-410,3440
842,-410,3440
506,-457,3621
521,-448,3546
546,-448,3546
570,-448,3546
595,-448,3546
614,-443,3510
702,-452,3583
727,-452,3583
744,-448,3546
761,-443,3510
778,-439,3475
794,-434,3440
818,-434,3440
842,-434,3440
501,-477,3583
521,-473,3546
546,-473,3546
570,-473,3546
601,-477,3583
620,-473,3546
702,-477,3583
727,-477,3583
744,-473,3546
761,-468,3510
786,-468,3510
802,-463,3475
827,-463,3475
842,-458,3440
501,-503,3583
521,-497,3546
540,-492,3510
570,-497,3546
601,-503,3583
627,-503,3583
702,-503,3583
727,-503,3583
744,-497,3546
761,-492,3510
778,-487,3475
802,-487,3475
827,-487,3475
842,-483,3440
496,-522,3546
521,-522,3546
546,-522,3546
570,-522,3546
595,-522,3546
627,-528,3583
709,-533,3621
727,-528,3583
